date,geography,geography code,Provision of unpaid care: Provides 10 to 19 hours unpaid care a week,Provision of unpaid care: Provides 19 hours or less unpaid care a week,Provision of unpaid care: Provides 20 to 34 hours unpaid care a week,Provision of unpaid care: Provides 20 to 49 hours unpaid care a week,Provision of unpaid care: Provides 35 to 49 hours unpaid care a week,Provision of unpaid care: Provides 50 or more hours unpaid care a week,Provision of unpaid care: Provides 9 hours or less unpaid care a week,Provision of unpaid care: Provides no unpaid care,Provision of unpaid care: Total: All usual residents aged 5 and over
2021,Barnet 009D,E01000120,33,91,6,26,20,37,58,1300,1454
2021,Barnet 010C,E01000121,20,60,18,40,22,47,40,1267,1414
2021,Barnet 009E,E01000122,26,87,14,31,17,31,61,1298,1447
2021,Barnet 010D,E01000123,17,78,10,18,8,31,61,1531,1658
2021,Barnet 010E,E01000124,28,68,22,59,37,33,40,1595,1755
2021,Barnet 026A,E01000126,23,56,26,50,24,44,33,1985,2135
2021,Barnet 024B,E01000127,12,39,11,28,17,50,27,1337,1454
2021,Barnet 024C,E01000128,18,61,19,35,16,50,43,1792,1938
2021,Barnet 024D,E01000129,5,33,6,22,16,44,28,1418,1517
2021,Barnet 021A,E01000130,29,72,14,39,25,67,43,1649,1827
2021,Barnet 024E,E01000131,26,60,17,31,14,34,34,1734,1859
2021,Barnet 021B,E01000132,20,48,33,50,17,29,28,1364,1491
2021,Barnet 021C,E01000133,21,63,17,40,23,45,42,1405,1553
2021,Barnet 024F,E01000134,15,49,17,39,22,38,34,1547,1673
2021,Barnet 038A,E01000135,19,74,10,17,7,25,55,1486,1602
2021,Barnet 038B,E01000136,11,61,10,20,10,45,50,1300,1426
2021,Barnet 041A,E01000137,19,51,14,28,14,25,32,1452,1556
2021,Barnet 040A,E01000138,13,52,17,35,18,22,39,1424,1533
2021,Barnet 041B,E01000139,17,61,12,17,5,26,44,1221,1325
2021,Barnet 041C,E01000140,33,105,8,18,10,22,72,1699,1844
2021,Barnet 039A,E01000141,13,65,12,27,15,31,52,1645,1768
2021,Barnet 040B,E01000142,22,85,15,35,20,40,63,1929,2089
2021,Barnet 041D,E01000143,15,67,12,26,14,40,52,1369,1502
2021,Barnet 038C,E01000144,12,51,9,18,9,22,39,1468,1559
2021,Barnet 037A,E01000145,23,73,8,21,13,19,50,1394,1507
2021,Barnet 038D,E01000146,21,75,6,20,14,28,54,1671,1794
2021,Barnet 043F,E01000147,23,62,7,36,29,26,39,1681,1805
2021,Barnet 036A,E01000150,22,72,14,37,23,44,50,1962,2115
2021,Barnet 026B,E01000151,18,44,10,32,22,34,26,1472,1582
2021,Barnet 026C,E01000152,22,62,14,33,19,39,40,2322,2456
2021,Barnet 026D,E01000153,23,55,18,40,22,39,32,1663,1797
2021,Barnet 026E,E01000154,14,43,17,27,10,36,29,1672,1778
2021,Barnet 022A,E01000156,22,55,10,11,1,33,33,1811,1910
2021,Barnet 022B,E01000157,15,62,9,18,9,20,47,1381,1481
2021,Barnet 015A,E01000158,19,74,13,22,9,30,55,1270,1396
2021,Barnet 015B,E01000159,28,85,12,26,14,48,57,1546,1705
2021,Barnet 015C,E01000160,22,69,10,22,12,24,47,1727,1842
2021,Barnet 015D,E01000161,17,80,16,31,15,36,63,1760,1907
2021,Barnet 015E,E01000162,15,57,21,38,17,26,42,1458,1579
2021,Barnet 022C,E01000163,11,48,10,24,14,34,37,1466,1572
2021,Barnet 022D,E01000164,29,75,21,40,19,49,46,1440,1604
2021,Barnet 022E,E01000165,31,72,16,27,11,34,41,1566,1699
2021,Barnet 003A,E01000166,28,89,13,29,16,51,61,1343,1512
2021,Barnet 002A,E01000167,25,65,8,17,9,38,40,1196,1316
2021,Barnet 003B,E01000168,21,86,16,26,10,38,65,1315,1465
2021,Barnet 003C,E01000169,18,71,8,24,16,36,53,1404,1535
2021,Barnet 006A,E01000170,35,95,23,44,21,64,60,1590,1793
2021,Barnet 006B,E01000171,20,72,13,30,17,49,52,1891,2042
2021,Barnet 003D,E01000172,24,75,11,21,10,37,51,1407,1540
2021,Barnet 006C,E01000173,29,108,16,33,17,31,79,1435,1607
2021,Barnet 006D,E01000174,12,76,8,18,10,20,64,1523,1637
2021,Barnet 006E,E01000175,12,83,9,17,8,38,71,1714,1852
2021,Barnet 027A,E01000176,49,136,28,43,15,60,87,1405,1644
2021,Barnet 029A,E01000177,10,65,2,9,7,20,55,1456,1550
2021,Barnet 027B,E01000178,14,80,19,27,8,20,66,1461,1588
2021,Barnet 029B,E01000179,11,70,10,21,11,20,59,1501,1612
2021,Barnet 029C,E01000180,19,50,17,34,17,32,31,1412,1528
2021,Barnet 029D,E01000181,14,61,11,19,8,10,47,1530,1620
2021,Barnet 029E,E01000182,19,71,8,17,9,12,52,1452,1552
2021,Barnet 033A,E01000183,9,59,10,22,12,26,50,1317,1424
2021,Barnet 027C,E01000184,25,77,21,39,18,33,52,1633,1782
2021,Barnet 029F,E01000185,25,63,16,33,17,45,38,1281,1422
2021,Barnet 014A,E01000186,21,98,12,22,10,29,77,1510,1659
2021,Barnet 014B,E01000187,29,74,5,14,9,26,45,1487,1601
2021,Barnet 014C,E01000188,24,100,24,43,19,29,76,1333,1505
2021,Barnet 014D,E01000189,25,67,14,29,15,66,42,2090,2252
2021,Barnet 014E,E01000190,26,98,8,18,10,40,72,1487,1643
2021,Barnet 014F,E01000191,26,71,20,29,9,47,45,1318,1465
2021,Barnet 018A,E01000192,29,100,17,48,31,35,71,1674,1857
2021,Barnet 018B,E01000193,16,83,23,44,21,44,67,1667,1838
2021,Barnet 018C,E01000194,16,61,18,38,20,29,45,1654,1782
2021,Barnet 013A,E01000195,22,69,24,40,16,52,47,1736,1897
2021,Barnet 028A,E01000196,14,61,11,26,15,26,47,1893,2006
2021,Barnet 023A,E01000197,17,76,16,31,15,25,59,1602,1734
2021,Barnet 025A,E01000198,22,108,12,35,23,44,86,1833,2020
2021,Barnet 025B,E01000199,14,74,12,22,10,35,60,1361,1492
2021,Barnet 028B,E01000200,24,100,12,25,13,32,76,1706,1863
2021,Barnet 028C,E01000201,17,65,4,18,14,29,48,1361,1473
2021,Barnet 028D,E01000202,22,99,22,32,10,17,77,1422,1570
2021,Barnet 028E,E01000203,22,65,17,35,18,49,43,1587,1736
2021,Barnet 025C,E01000204,18,70,10,20,10,24,52,1501,1615
2021,Barnet 035A,E01000205,12,60,8,13,5,16,48,1307,1396
2021,Barnet 033B,E01000206,13,66,10,16,6,12,53,1364,1458
2021,Barnet 033C,E01000207,20,68,8,15,7,15,48,1404,1502
2021,Barnet 033D,E01000208,14,55,14,33,19,22,41,1420,1530
2021,Barnet 035B,E01000209,14,92,5,8,3,30,78,1257,1387
2021,Barnet 033E,E01000210,13,78,7,9,2,19,65,1336,1442
2021,Barnet 035C,E01000211,25,75,9,18,9,30,50,1864,1987
2021,Barnet 035D,E01000212,15,70,8,16,8,19,55,1189,1294
2021,Barnet 033F,E01000213,10,56,9,16,7,11,46,1198,1281
2021,Barnet 038E,E01000214,12,65,6,14,8,22,53,1455,1556
2021,Barnet 037B,E01000215,18,82,12,25,13,38,64,1739,1884
2021,Barnet 035E,E01000216,18,64,17,23,6,28,46,1715,1830
2021,Barnet 035F,E01000217,15,86,7,23,16,24,71,1486,1619
2021,Barnet 037C,E01000218,19,70,25,38,13,24,51,1540,1672
2021,Barnet 037D,E01000219,10,75,12,30,18,35,65,1800,1940
2021,Barnet 037E,E01000220,16,56,9,22,13,38,40,1565,1681
2021,Barnet 039B,E01000221,13,43,9,24,15,45,30,1207,1319
2021,Barnet 040C,E01000222,16,56,16,41,25,48,40,1779,1924
2021,Barnet 039C,E01000223,19,49,25,51,26,31,30,1772,1903
2021,Barnet 040D,E01000224,18,63,15,31,16,49,45,1449,1592
2021,Barnet 037F,E01000225,19,102,13,23,10,35,83,1562,1722
2021,Barnet 018D,E01000226,20,52,16,32,16,44,32,1521,1649
2021,Barnet 018E,E01000227,18,77,13,26,13,31,59,1640,1774
2021,Barnet 007A,E01000228,17,75,12,25,13,33,58,1257,1390
2021,Barnet 013B,E01000229,25,67,16,35,19,35,42,1439,1576
2021,Barnet 013C,E01000230,19,88,18,29,11,49,69,1618,1784
2021,Barnet 013D,E01000231,19,69,19,30,11,27,50,1568,1694
2021,Barnet 013E,E01000232,23,84,12,33,21,57,61,1604,1778
2021,Barnet 013F,E01000233,14,67,21,36,15,30,53,1671,1804
2021,Barnet 021D,E01000234,14,59,18,27,9,23,45,1542,1651
2021,Barnet 021E,E01000235,29,91,14,31,17,41,62,1605,1768
2021,Barnet 034A,E01000236,25,79,11,20,9,23,54,1596,1718
2021,Barnet 032A,E01000237,13,68,15,23,8,22,55,1847,1960
2021,Barnet 034B,E01000238,22,82,16,29,13,38,60,1774,1923
2021,Barnet 031A,E01000239,13,58,8,20,12,22,45,1820,1920
2021,Barnet 031B,E01000240,10,61,13,34,21,32,51,1511,1638
2021,Barnet 031C,E01000241,33,90,17,24,7,18,57,1557,1689
2021,Barnet 032B,E01000242,18,79,10,19,9,37,61,1363,1498
2021,Barnet 032C,E01000243,20,57,8,24,16,23,37,1910,2014
2021,Barnet 032D,E01000244,19,59,11,27,16,22,40,1451,1559
2021,Barnet 032E,E01000245,25,58,24,38,14,38,33,1793,1927
2021,Barnet 002B,E01000246,14,65,6,18,12,30,51,1322,1435
2021,Barnet 002C,E01000247,23,86,13,26,13,23,63,1456,1591
2021,Barnet 001A,E01000248,17,79,6,8,2,15,62,1491,1593
2021,Barnet 001B,E01000249,20,69,11,21,10,27,49,1404,1521
2021,Barnet 001C,E01000250,26,95,19,39,20,47,69,2292,2473
2021,Barnet 002D,E01000251,17,88,7,14,7,46,71,1972,2120
2021,Barnet 002E,E01000252,16,94,11,27,16,22,78,1477,1620
2021,Barnet 007B,E01000253,39,100,13,24,11,32,61,1701,1857
2021,Barnet 001D,E01000254,28,104,14,26,12,24,76,1381,1535
2021,Barnet 017A,E01000255,28,81,19,43,24,49,53,1436,1609
2021,Barnet 016A,E01000256,16,75,13,25,12,34,59,1667,1801
2021,Barnet 017B,E01000257,18,71,15,41,26,59,53,1763,1934
2021,Barnet 016B,E01000258,30,83,23,31,8,60,53,1610,1784
2021,Barnet 025D,E01000259,31,99,23,40,17,73,68,2252,2464
2021,Barnet 025E,E01000260,27,71,15,27,12,32,44,1863,1993
2021,Barnet 017C,E01000261,21,92,8,16,8,20,71,1567,1695
2021,Barnet 016C,E01000263,14,74,7,13,6,20,60,1316,1423
2021,Barnet 016D,E01000264,17,73,12,25,13,22,56,1558,1678
2021,Barnet 011A,E01000265,23,74,15,28,13,41,51,1644,1787
2021,Barnet 011B,E01000266,21,81,3,13,10,26,60,1249,1369
2021,Barnet 005A,E01000267,20,79,13,21,8,29,59,1314,1443
2021,Barnet 005B,E01000268,24,67,10,24,14,32,43,1806,1929
2021,Barnet 005C,E01000269,5,59,12,25,13,29,54,1208,1321
2021,Barnet 005D,E01000270,26,99,8,21,13,34,73,1309,1463
2021,Barnet 008A,E01000271,29,87,15,31,16,39,58,1400,1557
