date,geography,geography code,Accommodation type: A caravan or other mobile or temporary structure,Accommodation type: Detached,"Accommodation type: In a commercial building, for example, in an office building, hotel or over a shop",Accommodation type: In a purpose-built block of flats or tenement,"Accommodation type: Part of a converted or shared house, including bedsits","Accommodation type: Part of another converted building, for example, former school, church or warehouse",Accommodation type: Semi-detached,Accommodation type: Terraced,Accommodation type: Total
2021,Waltham Forest 008B,E01004344,1,25,13,209,59,0,72,285,664
2021,Waltham Forest 010A,E01004345,0,42,2,42,50,4,80,397,617
2021,Waltham Forest 011B,E01004346,0,14,3,9,2,1,106,435,570
2021,Waltham Forest 011C,E01004347,2,23,5,310,84,4,52,323,803
2021,Waltham Forest 010B,E01004348,1,39,12,412,106,16,153,459,1198
2021,Waltham Forest 001A,E01004349,1,26,1,68,13,0,346,99,554
2021,Waltham Forest 001B,E01004350,0,21,16,514,16,4,292,57,920
2021,Waltham Forest 001C,E01004351,0,35,1,52,9,2,258,279,636
2021,Waltham Forest 002A,E01004352,2,98,13,226,82,3,279,89,792
2021,Waltham Forest 002B,E01004353,1,87,2,198,44,1,369,91,793
2021,Waltham Forest 002C,E01004354,0,22,44,132,62,7,195,315,777
2021,Waltham Forest 004A,E01004355,0,29,1,384,29,0,201,36,680
2021,Waltham Forest 001D,E01004356,0,27,5,50,13,1,389,108,593
2021,Waltham Forest 001E,E01004357,0,42,0,70,11,0,382,71,576
2021,Waltham Forest 002D,E01004358,1,53,4,459,44,7,220,92,880
2021,Waltham Forest 002E,E01004359,0,14,5,44,25,1,292,216,597
2021,Waltham Forest 004B,E01004360,0,19,1,21,13,1,370,51,476
2021,Waltham Forest 005A,E01004361,0,22,1,11,4,0,326,130,494
2021,Waltham Forest 021A,E01004362,0,19,3,211,223,3,92,125,676
2021,Waltham Forest 019A,E01004363,0,28,1,30,64,2,90,304,519
2021,Waltham Forest 019B,E01004364,0,31,12,139,41,8,119,274,624
2021,Waltham Forest 020A,E01004365,0,33,58,197,172,5,47,285,797
2021,Waltham Forest 019C,E01004366,0,31,2,37,122,1,76,397,666
2021,Waltham Forest 019D,E01004367,0,21,9,57,111,2,66,264,530
2021,Waltham Forest 019E,E01004368,1,72,7,177,226,6,73,218,780
2021,Waltham Forest 023A,E01004369,0,8,4,224,225,4,53,117,635
2021,Waltham Forest 023B,E01004370,1,25,8,264,168,19,56,263,804
2021,Waltham Forest 025A,E01004371,0,13,19,65,148,1,51,313,610
2021,Waltham Forest 023C,E01004372,0,9,5,284,256,5,28,103,690
2021,Waltham Forest 025B,E01004373,1,26,18,194,132,3,57,247,678
2021,Waltham Forest 025C,E01004374,1,47,6,74,143,4,54,376,705
2021,Waltham Forest 025D,E01004375,1,22,28,165,157,6,73,256,708
2021,Waltham Forest 025E,E01004376,0,28,12,70,217,6,61,263,657
2021,Waltham Forest 010C,E01004377,1,33,0,23,12,0,267,278,614
2021,Waltham Forest 010D,E01004378,0,36,3,109,86,3,150,288,675
2021,Waltham Forest 007A,E01004379,0,15,4,168,25,0,61,458,731
2021,Waltham Forest 007B,E01004380,0,46,1,209,13,0,218,133,620
2021,Waltham Forest 007C,E01004381,0,11,34,92,92,4,121,388,742
