date,geography,geography code,Accommodation type: A caravan or other mobile or temporary structure,Accommodation type: Detached,"Accommodation type: In a commercial building, for example, in an office building, hotel or over a shop",Accommodation type: In a purpose-built block of flats or tenement,"Accommodation type: Part of a converted or shared house, including bedsits","Accommodation type: Part of another converted building, for example, former school, church or warehouse",Accommodation type: Semi-detached,Accommodation type: Terraced,Accommodation type: Total
2021,Hackney 032D,E01001780,0,2,13,761,8,42,1,23,850
2021,Hackney 026B,E01001781,0,5,2,647,4,14,4,8,684
2021,Hackney 026D,E01001783,1,0,4,660,0,0,2,3,670
2021,Hackney 032A,E01001784,0,0,7,705,11,19,3,12,757
2021,Hackney 015B,E01001785,1,14,7,132,97,3,41,290,585
2021,Hackney 013A,E01001786,8,6,7,747,25,5,16,28,842
2021,Hackney 013B,E01001787,4,24,3,430,28,4,33,119,645
2021,Hackney 013C,E01001788,2,17,4,482,2,4,32,102,645
2021,Hackney 015C,E01001789,0,23,1,101,142,7,74,277,625
2021,Hackney 013D,E01001790,1,4,7,508,5,1,23,35,584
2021,Hackney 015D,E01001791,0,25,0,153,24,17,39,234,492
2021,Hackney 011A,E01001792,7,24,11,178,146,9,60,281,716
2021,Hackney 011B,E01001793,1,33,1,135,186,3,23,224,606
2021,Hackney 011C,E01001794,1,13,5,84,228,10,26,280,647
2021,Hackney 011D,E01001795,1,4,14,101,186,11,28,170,515
2021,Hackney 011E,E01001796,0,3,25,153,284,16,12,140,633
2021,Hackney 028A,E01001798,0,14,28,406,105,3,52,121,729
2021,Hackney 003A,E01001799,0,10,7,152,146,0,30,104,449
2021,Hackney 004C,E01001800,1,7,7,612,10,9,3,12,661
2021,Hackney 008B,E01001801,1,3,3,291,68,4,23,152,545
2021,Hackney 003B,E01001802,0,6,1,259,121,4,25,44,460
2021,Hackney 008C,E01001803,0,7,1,296,231,4,43,102,684
2021,Hackney 003C,E01001804,0,6,1,243,85,2,78,44,459
2021,Hackney 009B,E01001805,1,10,12,162,177,22,18,106,508
2021,Hackney 008D,E01001806,0,7,9,443,49,5,33,129,675
2021,Hackney 003D,E01001807,0,16,3,289,246,7,18,73,652
2021,Hackney 001A,E01001808,0,11,17,257,136,12,42,68,543
2021,Hackney 001B,E01001809,0,14,2,221,159,3,38,135,572
2021,Hackney 002D,E01001811,1,2,0,615,27,0,12,15,672
2021,Hackney 003E,E01001812,1,15,6,300,156,2,24,62,566
2021,Hackney 002E,E01001813,28,7,32,655,52,5,12,4,795
2021,Hackney 001C,E01001814,0,24,15,249,93,6,27,141,555
2021,Hackney 024D,E01001815,0,18,0,368,67,8,68,140,669
2021,Hackney 020D,E01001816,0,6,1,283,79,12,67,168,616
2021,Hackney 020E,E01001819,0,13,2,288,136,6,152,150,747
2021,Hackney 024E,E01001820,0,19,2,349,26,0,72,107,575
2021,Hackney 024F,E01001821,1,13,1,495,8,2,11,55,586
2021,Hackney 029C,E01001822,3,11,4,487,82,2,16,72,677
2021,Hackney 001D,E01001823,11,18,0,224,47,34,40,145,519
2021,Hackney 004D,E01001824,0,6,4,377,55,4,25,34,505
2021,Hackney 001E,E01001825,0,14,0,87,85,4,42,173,405
2021,Hackney 004E,E01001826,0,10,4,322,83,1,24,82,526
2021,Hackney 029D,E01001827,6,8,0,349,135,3,49,46,596
2021,Hackney 028B,E01001828,1,6,3,660,74,5,22,45,816
2021,Hackney 009C,E01001829,0,4,35,123,94,11,22,373,662
2021,Hackney 014C,E01001830,0,11,41,635,35,23,30,124,899
2021,Hackney 009D,E01001831,0,9,55,346,93,67,25,190,785
2021,Hackney 009E,E01001832,0,5,15,123,241,15,20,205,624
2021,Hackney 014D,E01001833,1,18,6,340,370,30,22,135,922
2021,Hackney 014E,E01001834,2,11,12,266,249,96,26,144,806
2021,Hackney 014F,E01001835,0,7,2,97,122,9,15,241,493
2021,Hackney 022A,E01001836,2,14,31,343,182,62,30,149,813
2021,Hackney 023B,E01001837,0,14,1,316,129,4,22,151,637
2021,Hackney 019E,E01001838,0,1,3,648,12,4,7,18,693
2021,Hackney 023C,E01001839,14,8,32,671,51,198,14,52,1040
2021,Hackney 022B,E01001840,0,15,3,459,35,11,49,88,660
2021,Hackney 022C,E01001841,0,11,4,256,134,8,39,179,631
2021,Hackney 023D,E01001842,0,10,3,450,79,4,8,87,641
2021,Hackney 023E,E01001843,0,25,2,125,65,2,64,196,479
2021,Hackney 022D,E01001844,0,19,15,143,170,63,49,248,707
2021,Hackney 022E,E01001845,0,13,3,413,110,12,27,150,728
2021,Hackney 018A,E01001846,3,23,1,266,12,1,102,128,536
2021,Hackney 018B,E01001847,0,11,5,288,124,15,28,86,557
2021,Hackney 018C,E01001848,0,20,10,343,89,5,33,194,694
2021,Hackney 018D,E01001849,2,26,7,642,39,78,56,163,1013
2021,Hackney 019F,E01001850,0,2,4,675,12,7,1,6,707
2021,Hammersmith and Fulham 010A,E01001851,0,5,6,160,209,5,13,249,647
2021,Hammersmith and Fulham 007A,E01001852,0,4,5,339,517,11,13,33,922
2021,Hammersmith and Fulham 007B,E01001853,0,5,1,179,314,7,24,134,664
2021,Hammersmith and Fulham 007C,E01001854,1,2,14,492,292,13,13,56,883
2021,Hammersmith and Fulham 010B,E01001855,0,4,1,336,413,13,14,104,885
2021,Hammersmith and Fulham 010C,E01001856,0,2,27,310,251,9,15,109,723
2021,Hammersmith and Fulham 007D,E01001857,2,2,12,686,49,10,5,16,782
2021,Hammersmith and Fulham 006A,E01001858,0,11,17,417,153,2,35,89,724
2021,Hammersmith and Fulham 008A,E01001859,0,1,4,977,104,19,12,32,1149
2021,Hammersmith and Fulham 006B,E01001860,0,10,49,418,174,31,21,70,773
2021,Hammersmith and Fulham 006C,E01001861,1,2,2,247,250,3,17,105,627
2021,Hammersmith and Fulham 005A,E01001862,0,10,0,280,475,7,20,44,836
2021,Hammersmith and Fulham 006D,E01001863,1,6,0,135,294,3,37,152,628
2021,Hammersmith and Fulham 006E,E01001864,2,18,5,196,276,3,24,171,695
2021,Hammersmith and Fulham 008B,E01001865,1,10,1,118,213,10,31,285,669
2021,Hammersmith and Fulham 012A,E01001866,0,4,11,522,64,11,10,34,656
2021,Hammersmith and Fulham 012B,E01001867,1,1,5,480,13,0,1,35,536
2021,Hammersmith and Fulham 012C,E01001868,0,3,3,478,94,10,2,6,596
2021,Hammersmith and Fulham 010D,E01001869,0,5,1,205,159,4,31,183,588
2021,Hammersmith and Fulham 012D,E01001870,0,1,5,481,379,10,10,26,912
2021,Hammersmith and Fulham 012E,E01001871,0,4,5,583,84,5,6,16,703
2021,Hammersmith and Fulham 012F,E01001872,2,4,0,243,411,4,6,44,714
2021,Hammersmith and Fulham 010E,E01001873,1,2,8,338,254,6,14,84,707
2021,Hammersmith and Fulham 001B,E01001875,2,51,9,52,30,0,178,333,655
2021,Hammersmith and Fulham 001C,E01001876,1,14,3,529,17,4,88,155,811
2021,Hammersmith and Fulham 001D,E01001877,8,14,6,246,142,10,34,153,613
2021,Hammersmith and Fulham 001E,E01001878,0,41,0,12,13,2,151,371,590
2021,Hammersmith and Fulham 019A,E01001879,0,4,11,201,146,8,32,232,634
2021,Hammersmith and Fulham 017A,E01001880,0,3,3,592,81,7,11,46,743
2021,Hammersmith and Fulham 017B,E01001881,0,2,35,274,228,13,53,215,820
2021,Hammersmith and Fulham 017C,E01001882,1,13,10,121,297,16,30,221,709
2021,Hammersmith and Fulham 017D,E01001883,0,8,4,551,276,3,11,90,943
2021,Hammersmith and Fulham 017E,E01001884,0,2,40,538,219,7,15,96,917
2021,Hammersmith and Fulham 015A,E01001885,0,3,7,467,6,1,12,21,517
2021,Hammersmith and Fulham 016A,E01001886,0,8,9,314,59,15,25,199,629
2021,Hammersmith and Fulham 016B,E01001887,0,5,6,373,94,3,28,129,638
2021,Hammersmith and Fulham 018A,E01001888,1,6,4,113,116,17,32,325,614
2021,Hammersmith and Fulham 014A,E01001889,0,7,0,78,216,3,25,247,576
2021,Hammersmith and Fulham 016C,E01001890,0,3,4,422,128,5,17,162,741
2021,Hammersmith and Fulham 018B,E01001891,2,9,48,623,232,20,16,205,1155
2021,Hammersmith and Fulham 016D,E01001892,1,2,1,355,98,4,9,113,583
2021,Hammersmith and Fulham 013A,E01001893,0,2,4,582,19,6,2,26,641
2021,Hammersmith and Fulham 013B,E01001894,19,6,31,460,109,14,27,38,704
2021,Hammersmith and Fulham 009A,E01001895,1,5,5,131,275,12,30,183,642
2021,Hammersmith and Fulham 009B,E01001896,1,4,7,325,272,11,4,82,706
2021,Hammersmith and Fulham 009C,E01001897,0,1,3,76,241,7,22,208,558
2021,Hammersmith and Fulham 013C,E01001898,1,6,16,428,338,18,37,106,950
2021,Hammersmith and Fulham 013D,E01001899,1,5,7,569,105,0,12,88,787
2021,Hammersmith and Fulham 013E,E01001900,0,12,10,372,121,7,35,161,718
2021,Hammersmith and Fulham 019B,E01001901,1,7,1,93,209,8,25,339,683
2021,Hammersmith and Fulham 019C,E01001902,0,10,14,430,123,20,12,197,806
2021,Hammersmith and Fulham 019D,E01001903,0,8,34,173,137,16,29,198,595
2021,Hammersmith and Fulham 022A,E01001904,0,15,7,138,296,22,13,220,711
2021,Hammersmith and Fulham 022B,E01001905,1,6,13,165,292,1,20,211,709
2021,Hammersmith and Fulham 022C,E01001906,0,4,6,269,147,5,14,182,627
2021,Hammersmith and Fulham 022D,E01001907,0,1,3,82,241,3,29,185,544
2021,Hammersmith and Fulham 015B,E01001908,0,3,7,351,369,7,4,19,760
2021,Hammersmith and Fulham 015C,E01001909,0,7,5,370,325,10,19,122,858
2021,Hammersmith and Fulham 014B,E01001910,0,0,8,341,333,5,9,38,734
2021,Hammersmith and Fulham 015D,E01001911,0,2,3,559,80,4,15,43,706
2021,Hammersmith and Fulham 015E,E01001912,0,20,17,294,50,10,37,93,521
2021,Hammersmith and Fulham 014C,E01001913,0,4,0,577,111,3,4,12,711
2021,Hammersmith and Fulham 014D,E01001914,0,0,17,468,329,4,3,7,828
2021,Hammersmith and Fulham 024A,E01001915,0,14,3,356,28,6,181,39,627
2021,Hammersmith and Fulham 024B,E01001916,1,10,1,415,29,0,90,53,599
2021,Hammersmith and Fulham 018C,E01001917,1,9,1,298,175,6,39,168,697
2021,Hammersmith and Fulham 018D,E01001918,0,4,0,178,260,2,37,132,613
2021,Hammersmith and Fulham 018E,E01001919,0,2,2,159,132,0,93,212,600
2021,Hammersmith and Fulham 020A,E01001920,0,7,14,556,93,10,15,79,774
2021,Hammersmith and Fulham 020B,E01001921,1,15,17,107,217,2,22,219,600
2021,Hammersmith and Fulham 020C,E01001922,0,11,13,133,109,3,48,324,641
2021,Hammersmith and Fulham 020D,E01001923,0,11,7,208,112,6,48,258,650
2021,Hammersmith and Fulham 020E,E01001924,0,3,7,106,190,7,32,265,610
2021,Hammersmith and Fulham 025A,E01001925,0,11,14,111,124,5,47,307,619
2021,Hammersmith and Fulham 024C,E01001926,0,6,16,118,96,5,31,309,581
2021,Hammersmith and Fulham 008C,E01001927,1,33,0,54,92,0,266,66,512
2021,Hammersmith and Fulham 011A,E01001928,0,15,4,298,122,4,76,164,683
2021,Hammersmith and Fulham 009D,E01001929,0,7,8,55,111,19,16,374,590
2021,Hammersmith and Fulham 008D,E01001930,0,29,6,436,89,27,79,106,772
2021,Hammersmith and Fulham 011B,E01001931,0,5,0,443,107,22,36,44,657
2021,Hammersmith and Fulham 011C,E01001932,1,11,51,379,130,23,35,116,746
2021,Hammersmith and Fulham 011D,E01001933,1,18,22,250,72,18,82,225,688
2021,Hammersmith and Fulham 025B,E01001934,0,10,4,599,7,45,30,99,794
2021,Hammersmith and Fulham 023A,E01001935,0,11,7,126,539,3,18,218,922
2021,Hammersmith and Fulham 025C,E01001937,0,9,24,94,262,8,30,295,722
2021,Hammersmith and Fulham 025D,E01001938,0,11,2,340,134,5,13,127,632
2021,Hammersmith and Fulham 005B,E01001940,0,6,20,356,246,10,35,36,709
2021,Hammersmith and Fulham 005C,E01001941,0,11,48,305,270,20,26,89,769
2021,Hammersmith and Fulham 005D,E01001942,1,8,53,233,396,9,20,147,867
2021,Hammersmith and Fulham 004A,E01001943,1,12,51,541,305,27,31,134,1102
2021,Hammersmith and Fulham 004B,E01001944,0,3,1,751,13,2,12,17,799
2021,Hammersmith and Fulham 004C,E01001945,0,11,4,201,296,3,32,202,749
2021,Hammersmith and Fulham 004D,E01001946,0,4,5,458,261,14,18,89,849
2021,Hammersmith and Fulham 021A,E01001947,0,3,3,516,26,1,4,31,584
2021,Hammersmith and Fulham 021B,E01001948,1,3,20,259,318,4,14,222,841
2021,Hammersmith and Fulham 021C,E01001949,0,7,8,127,282,4,18,198,644
2021,Hammersmith and Fulham 021D,E01001950,0,3,6,110,165,5,39,262,590
2021,Hammersmith and Fulham 021E,E01001951,0,10,31,257,216,1,27,152,694
2021,Hammersmith and Fulham 024D,E01001952,1,8,33,468,204,18,15,81,828
2021,Hammersmith and Fulham 021F,E01001953,1,2,36,385,160,11,7,79,681
2021,Hammersmith and Fulham 003A,E01001954,2,15,9,256,97,7,30,249,665
2021,Hammersmith and Fulham 002A,E01001955,1,30,8,455,37,2,127,163,823
2021,Hammersmith and Fulham 003B,E01001956,0,13,1,298,47,0,78,161,598
2021,Hammersmith and Fulham 002B,E01001957,0,6,4,546,4,3,10,12,585
2021,Hammersmith and Fulham 002C,E01001958,0,0,0,585,3,2,3,6,599
2021,Hammersmith and Fulham 003C,E01001959,1,36,0,130,21,0,216,174,578
2021,Hammersmith and Fulham 003D,E01001960,0,9,7,260,353,5,27,111,772
2021,Hammersmith and Fulham 002D,E01001961,1,2,2,513,3,3,2,5,531
2021,Haringey 004A,E01001962,1,12,0,201,74,1,200,152,641
2021,Haringey 009A,E01001963,0,19,14,46,184,1,134,279,677
2021,Haringey 009B,E01001964,0,39,13,144,238,6,74,126,640
2021,Haringey 009C,E01001965,0,4,0,150,142,2,35,295,628
2021,Haringey 009D,E01001966,0,52,2,71,70,10,161,154,520
2021,Haringey 014A,E01001967,0,8,0,25,239,5,88,238,603
2021,Haringey 014B,E01001968,0,12,0,112,350,7,79,135,695
2021,Haringey 001A,E01001969,2,50,13,359,267,5,75,98,869
2021,Haringey 004B,E01001970,0,28,10,385,87,2,94,143,749
2021,Haringey 001B,E01001971,0,19,10,524,111,14,49,88,815
2021,Haringey 004C,E01001972,0,18,5,327,122,4,41,214,731
2021,Haringey 004D,E01001973,0,22,4,496,50,3,281,147,1003
2021,Haringey 001C,E01001974,0,24,28,294,263,8,87,267,971
2021,Haringey 001D,E01001975,0,14,19,276,361,8,24,112,814
2021,Haringey 011A,E01001976,5,33,0,100,292,6,52,196,684
2021,Haringey 011B,E01001977,2,18,4,159,249,4,36,137,609
2021,Haringey 011C,E01001978,1,28,18,351,200,9,47,129,783
2021,Haringey 011D,E01001979,0,47,37,399,117,52,51,226,929
2021,Haringey 018A,E01001980,0,66,3,69,224,8,73,260,703
2021,Haringey 018B,E01001981,1,48,9,89,129,7,53,310,646
2021,Haringey 018C,E01001982,2,32,4,148,254,7,37,235,719
2021,Haringey 018D,E01001983,1,29,4,76,173,1,48,319,651
2021,Haringey 033A,E01001984,2,26,3,753,88,6,26,51,955
2021,Haringey 033B,E01001985,0,19,3,143,390,3,51,117,726
2021,Haringey 034A,E01001986,0,14,3,103,324,3,75,174,696
2021,Haringey 033C,E01001987,0,22,2,264,195,12,141,123,759
2021,Haringey 034B,E01001988,0,12,1,250,379,9,57,83,791
2021,Haringey 033D,E01001989,1,19,4,283,157,7,81,202,754
2021,Haringey 034C,E01001990,0,13,141,251,364,34,32,101,936
2021,Haringey 017A,E01001991,1,8,12,319,331,10,45,13,739
2021,Haringey 017B,E01001992,0,81,11,184,53,10,247,93,679
2021,Haringey 017C,E01001993,0,29,0,14,72,2,134,353,604
2021,Haringey 030A,E01001994,1,85,14,330,98,4,172,35,739
2021,Haringey 017D,E01001995,0,24,1,243,17,2,163,492,942
2021,Haringey 014C,E01001996,0,25,4,283,62,3,110,126,613
2021,Haringey 014D,E01001997,1,10,52,292,192,9,65,81,702
2021,Haringey 023A,E01001998,0,17,4,135,419,8,123,118,824
2021,Haringey 023B,E01001999,1,21,53,238,331,17,45,258,964
2021,Haringey 031A,E01002000,0,22,0,78,393,2,19,225,739
2021,Haringey 031B,E01002001,1,15,1,59,342,1,49,219,687
2021,Haringey 031C,E01002002,0,17,42,237,308,11,22,160,797
2021,Haringey 023C,E01002003,0,15,87,628,223,12,50,124,1139
2021,Haringey 023D,E01002004,0,24,0,79,239,2,40,336,720
