date,geography,geography code,Second address type: Another address when working away from home,Second address type: Another parent or guardian's address,Second address type: Armed forces base address,Second address type: Holiday home,Second address type: Other,Second address type: Partner's address,Second address type: Second address type not specified,Second address type: Student's home address,Second address type: Student's term-time address,Second address type: Total: All usual residents
2021,Camden 028A,E01000855,21,74,0,35,61,33,0,84,0,308
2021,Camden 019A,E01000856,12,38,0,23,21,19,0,55,0,168
2021,Camden 018A,E01000857,9,38,0,65,43,15,0,12,2,184
2021,Camden 018B,E01000858,4,41,0,24,31,20,0,40,1,161
2021,Camden 018C,E01000859,14,42,0,138,32,12,0,18,0,256
2021,Camden 018D,E01000860,10,33,0,54,39,15,0,3,0,154
2021,Camden 019B,E01000861,6,50,0,9,21,17,0,61,1,165
2021,Camden 018E,E01000862,26,56,1,122,53,17,0,28,1,304
2021,Camden 021A,E01000863,19,84,0,34,68,15,0,94,0,314
2021,Camden 009A,E01000866,9,65,0,30,37,22,0,48,0,211
2021,Camden 015C,E01000867,7,86,0,19,19,14,0,86,3,234
2021,Camden 015D,E01000868,7,22,0,8,22,15,0,30,3,107
2021,Camden 015E,E01000869,15,73,1,48,35,21,0,106,0,299
2021,Camden 009B,E01000870,7,24,1,46,24,10,0,7,0,119
2021,Camden 005A,E01000871,12,25,0,38,54,14,0,5,1,149
2021,Camden 005B,E01000872,3,43,0,10,35,21,0,22,0,134
2021,Camden 005C,E01000873,11,45,0,54,24,13,0,17,0,164
2021,Camden 005D,E01000874,15,35,0,47,57,21,0,14,0,189
2021,Camden 013A,E01000875,9,52,0,19,35,20,0,9,2,146
2021,Camden 013B,E01000876,5,39,0,6,28,16,0,6,0,100
2021,Camden 005E,E01000877,10,44,0,32,25,14,0,4,0,129
2021,Camden 004A,E01000878,12,45,0,66,57,17,0,12,0,209
