date,geography,geography code,"Occupation (current): 1. Managers, directors and senior officials",Occupation (current): 2. Professional occupations,Occupation (current): 3. Associate professional and technical occupations,Occupation (current): 4. Administrative and secretarial occupations,Occupation (current): 5. Skilled trades occupations,"Occupation (current): 6. Caring, leisure and other service occupations",Occupation (current): 7. Sales and customer service occupations,"Occupation (current): 8. Process, plant and machine operatives",Occupation (current): 9. Elementary occupations,Occupation (current): Total: All usual residents aged 16 years and over in employment the week before the census
2021,Wandsworth 031D,E01004498,289,415,238,64,36,33,41,8,21,1145
2021,Wandsworth 020A,E01004499,240,371,224,57,14,38,37,27,33,1041
2021,Wandsworth 014A,E01004500,222,497,218,107,50,58,51,29,66,1298
2021,Wandsworth 014B,E01004501,131,279,126,71,35,60,51,37,35,825
2021,Wandsworth 020B,E01004502,226,351,198,77,28,38,40,14,21,993
2021,Wandsworth 014C,E01004503,219,351,182,87,35,48,34,18,54,1028
2021,Wandsworth 020C,E01004504,212,261,126,70,35,44,24,25,32,829
2021,Wandsworth 014D,E01004505,199,349,181,64,32,50,18,21,42,956
2021,Wandsworth 011A,E01004506,321,541,308,116,37,61,42,18,52,1496
2021,Wandsworth 014E,E01004507,390,662,319,125,48,74,49,27,43,1737
2021,Wandsworth 012A,E01004508,313,507,333,107,39,37,40,26,43,1445
2021,Wandsworth 012B,E01004510,258,417,242,85,57,58,39,24,50,1230
2021,Wandsworth 010B,E01004511,229,401,247,54,37,47,37,5,19,1076
2021,Wandsworth 019B,E01004512,212,257,175,56,28,42,28,19,27,844
2021,Wandsworth 018B,E01004513,183,341,216,99,60,77,62,36,105,1179
2021,Wandsworth 012C,E01004514,295,362,275,82,26,47,34,15,38,1174
2021,Wandsworth 012D,E01004515,163,436,221,74,44,97,36,33,51,1155
2021,Wandsworth 036A,E01004516,136,240,151,54,44,46,34,33,38,776
2021,Wandsworth 037A,E01004517,206,337,252,87,101,82,67,47,149,1328
2021,Wandsworth 036B,E01004518,142,274,174,73,47,50,40,28,85,913
2021,Wandsworth 036C,E01004519,113,277,152,58,46,64,60,45,78,893
2021,Wandsworth 036D,E01004520,84,178,118,47,44,60,54,37,53,675
2021,Wandsworth 037B,E01004521,159,319,195,69,72,89,57,43,82,1085
2021,Wandsworth 037C,E01004522,147,234,153,68,98,67,40,41,94,942
2021,Wandsworth 036E,E01004523,144,254,159,53,56,49,32,19,59,825
2021,Wandsworth 037D,E01004524,64,169,106,60,63,101,81,41,114,799
2021,Wandsworth 035A,E01004525,133,333,230,74,47,71,94,46,108,1136
2021,Wandsworth 035B,E01004526,147,334,203,71,60,55,66,51,61,1048
2021,Wandsworth 035C,E01004527,135,321,189,69,44,47,39,23,58,925
