date,geography,geography code,Schoolchild or full-time student indicator: Not a student,Schoolchild or full-time student indicator: Student,Schoolchild or full-time student indicator: Total
2021,Barnet 015D,E01000161,1493,414,1907
2021,Barnet 015E,E01000162,1248,332,1580
2021,Barnet 022C,E01000163,1223,348,1571
2021,Barnet 022D,E01000164,1199,406,1605
2021,Barnet 022E,E01000165,1322,377,1699
2021,Barnet 003A,E01000166,1228,284,1512
2021,Barnet 002A,E01000167,1019,297,1316
2021,Barnet 003B,E01000168,1190,274,1464
2021,Barnet 003C,E01000169,1237,298,1535
2021,Barnet 006A,E01000170,1363,430,1793
2021,Barnet 006B,E01000171,1611,431,2042
2021,Barnet 003D,E01000172,1173,366,1539
2021,Barnet 006C,E01000173,1183,424,1607
2021,Barnet 006D,E01000174,1280,358,1638
2021,Barnet 006E,E01000175,1430,422,1852
2021,Barnet 027A,E01000176,1341,304,1645
2021,Barnet 029A,E01000177,1201,350,1551
2021,Barnet 027B,E01000178,1206,381,1587
2021,Barnet 029B,E01000179,1305,305,1610
2021,Barnet 029C,E01000180,1199,329,1528
2021,Barnet 029D,E01000181,1325,295,1620
2021,Barnet 029E,E01000182,1255,297,1552
2021,Barnet 033A,E01000183,1129,295,1424
2021,Barnet 027C,E01000184,1275,510,1785
2021,Barnet 029F,E01000185,1112,309,1421
2021,Barnet 014A,E01000186,1202,456,1658
2021,Barnet 014B,E01000187,1158,443,1601
2021,Barnet 014C,E01000188,1101,403,1504
2021,Barnet 014D,E01000189,1741,510,2251
2021,Barnet 014E,E01000190,1234,415,1649
2021,Barnet 014F,E01000191,1087,377,1464
2021,Barnet 018A,E01000192,1438,417,1855
2021,Barnet 018B,E01000193,1441,397,1838
2021,Barnet 018C,E01000194,1312,470,1782
2021,Barnet 013A,E01000195,1355,541,1896
2021,Barnet 028A,E01000196,1724,281,2005
2021,Barnet 023A,E01000197,1406,328,1734
2021,Barnet 025A,E01000198,1473,548,2021
2021,Barnet 025B,E01000199,1185,307,1492
2021,Barnet 028B,E01000200,1509,355,1864
2021,Barnet 028C,E01000201,1125,348,1473
2021,Barnet 028D,E01000202,1249,321,1570
2021,Barnet 028E,E01000203,1338,398,1736
2021,Barnet 025C,E01000204,1291,325,1616
2021,Barnet 035A,E01000205,1094,301,1395
2021,Barnet 033B,E01000206,1118,340,1458
2021,Barnet 033C,E01000207,1172,330,1502
2021,Barnet 033D,E01000208,1217,308,1525
2021,Barnet 035B,E01000209,1176,211,1387
2021,Barnet 033E,E01000210,1081,359,1440
2021,Barnet 035C,E01000211,1564,422,1986
2021,Barnet 035D,E01000212,1038,255,1293
2021,Barnet 033F,E01000213,919,362,1281
2021,Barnet 038E,E01000214,1260,296,1556
2021,Barnet 037B,E01000215,1279,607,1886
2021,Barnet 035E,E01000216,1275,555,1830
2021,Barnet 035F,E01000217,1148,470,1618
2021,Barnet 037C,E01000218,1165,509,1674
2021,Barnet 037D,E01000219,1356,582,1938
2021,Barnet 037E,E01000220,1269,412,1681
2021,Barnet 039B,E01000221,920,402,1322
2021,Barnet 040C,E01000222,1425,500,1925
2021,Barnet 039C,E01000223,1381,525,1906
2021,Barnet 040D,E01000224,1182,410,1592
2021,Barnet 037F,E01000225,1093,629,1722
2021,Barnet 018D,E01000226,1213,435,1648
2021,Barnet 018E,E01000227,1371,402,1773
2021,Barnet 007A,E01000228,1028,362,1390
2021,Barnet 013B,E01000229,1189,388,1577
2021,Barnet 013C,E01000230,1342,442,1784
2021,Barnet 013D,E01000231,1269,425,1694
2021,Barnet 013E,E01000232,1381,398,1779
2021,Barnet 013F,E01000233,1412,390,1802
2021,Barnet 021D,E01000234,1279,372,1651
2021,Barnet 021E,E01000235,1303,465,1768
2021,Barnet 034A,E01000236,1234,482,1716
2021,Barnet 032A,E01000237,1410,550,1960
2021,Barnet 034B,E01000238,1281,643,1924
2021,Barnet 031A,E01000239,1484,436,1920
2021,Barnet 031B,E01000240,1294,345,1639
2021,Barnet 031C,E01000241,1269,420,1689
2021,Barnet 032B,E01000242,1086,410,1496
2021,Barnet 032C,E01000243,1485,529,2014
2021,Barnet 032D,E01000244,1102,461,1563
2021,Barnet 032E,E01000245,1472,455,1927
2021,Barnet 002B,E01000246,1188,247,1435
2021,Barnet 002C,E01000247,1286,305,1591
2021,Barnet 001A,E01000248,1311,283,1594
2021,Barnet 001B,E01000249,1242,279,1521
