date,geography,geography code,Distance travelled to work: 10km to less than 20km,Distance travelled to work: 20km to less than 30km,Distance travelled to work: 2km to less than 5km,Distance travelled to work: 30km to less than 40km,Distance travelled to work: 40km to less than 60km,Distance travelled to work: 5km to less than 10km,Distance travelled to work: 60km and over,Distance travelled to work: Less than 2km,Distance travelled to work: Total: All usual residents aged 16 years and over in employment the week before the census,"Distance travelled to work: Works mainly at an offshore installation, in no fixed place, or outside the UK",Distance travelled to work: Works mainly from home
2021,Westminster 022D,E01004752,15,7,105,1,3,93,2,61,782,82,413
2021,Westminster 022E,E01004753,14,0,161,3,4,58,6,86,1037,99,606
2021,Westminster 010A,E01004754,27,3,129,2,2,52,6,95,664,98,250
2021,Westminster 010B,E01004755,26,0,206,15,2,122,3,165,1162,144,479
2021,Westminster 006E,E01004756,20,5,131,9,4,74,4,71,861,75,468
2021,Westminster 010C,E01004757,23,8,112,1,2,53,8,83,654,104,260
2021,Westminster 014E,E01004760,11,3,115,3,1,90,2,93,843,106,419
2021,Westminster 018D,E01004761,5,2,49,1,1,21,8,110,626,69,360
2021,Westminster 011E,E01004762,8,3,53,0,1,26,5,98,755,104,457
2021,Westminster 013B,E01004763,18,4,103,6,0,35,7,234,1175,69,699
2021,Westminster 013D,E01004765,16,14,92,2,1,34,2,188,973,78,546
2021,Westminster 010F,E01032512,23,3,207,1,1,89,4,116,874,145,285
2021,Westminster 010G,E01032513,25,7,94,1,1,53,4,66,496,75,170
2021,Bromley 040D,E01032562,96,11,119,3,3,100,6,68,705,135,164
2021,Bromley 040E,E01032563,59,7,53,5,5,78,2,38,645,83,315
2021,Lewisham 037E,E01032564,75,7,93,1,1,98,10,47,595,104,159
2021,Lewisham 038E,E01032565,88,2,132,3,1,86,1,51,671,124,183
2021,Bexley 029D,E01032566,162,26,106,12,7,109,5,29,892,175,261
2021,Greenwich 033D,E01032567,108,22,119,10,2,112,12,40,807,125,257
2021,Bromley 041E,E01032568,87,7,113,2,6,85,6,51,741,113,271
2021,Croydon 045E,E01032569,108,13,143,2,6,130,5,48,778,142,181
2021,Bromley 042D,E01032570,128,47,20,5,1,83,1,53,741,141,262
2021,Ealing 040D,E01032572,50,7,81,1,0,85,2,64,944,86,568
2021,Hounslow 029E,E01032573,71,14,81,5,4,98,6,64,1043,85,615
2021,Enfield 037E,E01032574,124,16,97,7,1,117,18,141,862,183,158
2021,Haringey 037D,E01032575,166,10,116,7,1,152,7,82,874,163,170
2021,Harrow 032E,E01032576,111,43,100,7,2,87,9,55,854,132,308
2021,Hillingdon 033E,E01032577,111,30,93,7,5,114,6,65,892,146,315
2021,Lewisham 039E,E01032579,88,3,75,5,2,212,7,87,1200,120,601
2021,Barking and Dagenham 023F,E01032580,75,23,105,9,4,84,6,54,637,137,140
