date,geography,geography code,Migrant indicator: Address one year ago is student term-time or boarding school address in the UK,Migrant indicator: Address one year ago is the same as the address of enumeration,Migrant indicator: Migrant from outside the UK: Address one year ago was outside the UK,Migrant indicator: Migrant from within the UK: Address one year ago was in the UK,Migrant indicator: Total: All usual residents
2021,Waltham Forest 007A,E01004379,4,1724,6,156,1890
2021,Waltham Forest 007B,E01004380,2,1642,11,122,1777
2021,Waltham Forest 007C,E01004381,8,1805,5,146,1964
2021,Waltham Forest 008C,E01004382,1,1619,9,99,1728
2021,Waltham Forest 007D,E01004383,2,1592,3,72,1669
2021,Waltham Forest 003A,E01004384,1,1834,15,125,1975
2021,Waltham Forest 003B,E01004385,6,1385,4,117,1512
2021,Waltham Forest 003C,E01004386,4,1580,6,93,1683
2021,Waltham Forest 007E,E01004387,4,1316,10,93,1423
2021,Waltham Forest 007F,E01004388,3,1515,9,115,1642
2021,Waltham Forest 003D,E01004389,2,1598,9,107,1716
2021,Waltham Forest 003E,E01004390,2,1526,7,44,1579
2021,Waltham Forest 014A,E01004391,34,1920,32,307,2293
2021,Waltham Forest 017A,E01004392,2,2188,29,302,2521
2021,Waltham Forest 014B,E01004393,18,1439,16,206,1679
2021,Waltham Forest 017B,E01004394,4,1756,14,201,1975
2021,Waltham Forest 018A,E01004395,3,1504,13,158,1678
2021,Waltham Forest 012A,E01004396,6,1704,25,231,1966
2021,Waltham Forest 017C,E01004397,6,2551,37,278,2872
2021,Waltham Forest 009A,E01004398,0,1839,27,145,2011
2021,Waltham Forest 009B,E01004399,2,1772,11,84,1869
2021,Waltham Forest 009C,E01004400,7,1710,12,142,1871
2021,Waltham Forest 014C,E01004401,2,2108,18,201,2329
2021,Waltham Forest 009D,E01004402,2,1656,9,176,1843
2021,Waltham Forest 009E,E01004403,4,2353,25,164,2546
2021,Waltham Forest 014D,E01004404,4,2575,11,218,2808
2021,Waltham Forest 020B,E01004405,3,1474,14,197,1688
