date,geography,geography code,Religion: Buddhist,Religion: Christian,Religion: Hindu,Religion: Jewish,Religion: Muslim,Religion: No religion,Religion: Not answered,Religion: Other religion,Religion: Sikh,Religion: Total: All usual residents
2021,Barnet 041D,E01000143,19,591,34,98,443,366,106,10,2,1669
2021,Barnet 038C,E01000144,14,529,63,359,188,334,153,17,4,1661
2021,Barnet 037A,E01000145,15,227,59,635,156,253,255,14,2,1616
2021,Barnet 038D,E01000146,55,610,40,419,151,408,168,15,6,1872
2021,Barnet 043F,E01000147,34,803,438,10,284,181,147,11,4,1912
2021,Barnet 036A,E01000150,29,931,288,34,493,262,187,23,6,2253
2021,Barnet 026B,E01000151,18,699,32,20,555,272,118,5,2,1721
2021,Barnet 026C,E01000152,33,998,204,55,764,426,171,21,20,2692
2021,Barnet 026D,E01000153,30,890,63,19,390,405,119,13,2,1931
2021,Barnet 026E,E01000154,49,878,53,24,418,296,176,10,8,1912
2021,Barnet 022A,E01000156,13,778,33,100,165,794,124,10,7,2024
2021,Barnet 022B,E01000157,11,607,10,65,155,592,127,11,6,1584
2021,Barnet 015A,E01000158,9,606,114,69,121,410,117,14,6,1466
2021,Barnet 015B,E01000159,4,880,115,102,147,365,125,13,33,1784
2021,Barnet 015C,E01000160,36,812,92,61,234,531,145,24,20,1955
2021,Barnet 015D,E01000161,18,740,133,109,317,508,160,31,20,2036
2021,Barnet 015E,E01000162,13,675,164,135,177,316,137,24,10,1651
2021,Barnet 022C,E01000163,11,717,37,11,255,474,140,43,5,1693
2021,Barnet 022D,E01000164,17,660,54,26,294,506,141,8,6,1712
2021,Barnet 022E,E01000165,22,676,143,91,247,442,145,24,22,1812
2021,Barnet 003A,E01000166,8,809,51,97,126,375,125,28,1,1620
2021,Barnet 002A,E01000167,9,665,35,33,141,429,56,20,1,1389
2021,Barnet 003B,E01000168,4,683,117,153,134,249,127,40,10,1517
2021,Barnet 003C,E01000169,5,749,42,85,98,540,102,8,1,1630
2021,Barnet 006A,E01000170,14,940,75,59,203,465,123,20,6,1905
2021,Barnet 006B,E01000171,15,1014,30,51,231,689,226,27,6,2289
2021,Barnet 003D,E01000172,15,913,80,92,104,336,117,27,7,1691
2021,Barnet 006C,E01000173,26,787,57,79,177,424,125,8,6,1689
2021,Barnet 006D,E01000174,12,751,34,67,159,595,113,26,1,1758
2021,Barnet 006E,E01000175,14,1138,101,95,128,431,90,24,9,2030
2021,Barnet 027A,E01000176,9,795,89,51,162,434,159,16,6,1721
2021,Barnet 029A,E01000177,12,570,39,134,97,686,106,16,1,1661
2021,Barnet 027B,E01000178,3,625,38,186,111,569,113,24,4,1673
2021,Barnet 029B,E01000179,13,715,54,96,107,652,133,16,4,1790
2021,Barnet 029C,E01000180,18,571,79,180,170,481,90,23,3,1615
2021,Barnet 029D,E01000181,27,575,52,163,56,656,135,20,4,1688
2021,Barnet 029E,E01000182,21,509,60,139,47,703,124,15,2,1620
2021,Barnet 033A,E01000183,8,441,45,434,116,315,132,27,4,1522
2021,Barnet 027C,E01000184,16,775,80,16,376,474,109,21,6,1873
2021,Barnet 029F,E01000185,9,454,85,53,350,388,116,20,1,1476
2021,Barnet 014A,E01000186,16,284,188,988,36,75,126,53,6,1772
2021,Barnet 014B,E01000187,2,362,94,773,157,164,126,56,3,1737
2021,Barnet 014C,E01000188,8,191,226,740,139,98,115,60,1,1578
2021,Barnet 014D,E01000189,24,869,268,123,520,429,177,40,19,2469
2021,Barnet 014E,E01000190,2,401,172,607,191,158,142,49,8,1730
2021,Barnet 014F,E01000191,5,268,166,728,113,67,138,59,5,1549
2021,Barnet 018A,E01000192,23,496,136,787,180,154,159,60,2,1997
2021,Barnet 018B,E01000193,21,594,147,541,275,168,126,77,1,1950
2021,Barnet 018C,E01000194,22,742,167,189,389,242,116,39,1,1907
2021,Barnet 013A,E01000195,10,1002,79,124,337,306,146,15,1,2020
2021,Barnet 028A,E01000196,28,693,105,282,230,599,167,10,6,2120
2021,Barnet 023A,E01000197,14,594,177,290,124,465,152,20,15,1851
2021,Barnet 025A,E01000198,13,481,53,1001,219,241,154,21,9,2192
2021,Barnet 025B,E01000199,1,310,63,664,139,226,169,8,0,1580
2021,Barnet 028B,E01000200,33,481,83,762,115,304,183,13,3,1977
2021,Barnet 028C,E01000201,1,181,94,894,99,136,121,13,2,1541
2021,Barnet 028D,E01000202,16,381,64,628,78,326,145,25,8,1671
2021,Barnet 028E,E01000203,11,591,120,444,212,269,155,27,14,1843
2021,Barnet 025C,E01000204,8,528,111,486,84,327,140,16,1,1701
2021,Barnet 035A,E01000205,19,385,56,558,88,264,132,2,2,1506
2021,Barnet 033B,E01000206,7,294,62,645,83,234,137,19,19,1500
2021,Barnet 033C,E01000207,16,312,26,725,124,247,117,10,2,1579
2021,Barnet 033D,E01000208,13,290,73,597,106,382,147,15,7,1630
2021,Barnet 035B,E01000209,13,468,24,485,19,324,129,19,2,1483
2021,Barnet 033E,E01000210,11,281,51,650,82,318,136,17,2,1548
2021,Barnet 035C,E01000211,3,679,81,309,358,490,170,35,3,2128
2021,Barnet 035D,E01000212,9,320,47,462,86,270,142,9,2,1347
2021,Barnet 033F,E01000213,10,172,11,867,50,110,121,8,1,1350
2021,Barnet 038E,E01000214,50,390,49,443,62,443,172,14,6,1629
2021,Barnet 037B,E01000215,8,250,43,1311,124,148,245,14,2,2145
2021,Barnet 035E,E01000216,18,383,94,828,118,331,204,1,1,1978
2021,Barnet 035F,E01000217,4,218,28,1152,62,109,205,9,0,1787
2021,Barnet 037C,E01000218,8,252,48,990,81,141,310,10,4,1844
2021,Barnet 037D,E01000219,14,447,124,972,126,207,262,17,25,2194
2021,Barnet 037E,E01000220,5,345,46,933,119,179,253,9,1,1890
2021,Barnet 039B,E01000221,6,562,25,62,441,208,96,11,0,1411
2021,Barnet 040C,E01000222,50,775,66,29,566,337,185,23,7,2038
2021,Barnet 039C,E01000223,8,862,51,24,615,324,135,9,2,2030
2021,Barnet 040D,E01000224,18,679,46,57,494,218,172,6,2,1692
2021,Barnet 037F,E01000225,6,179,16,1292,72,104,196,5,0,1870
2021,Barnet 018D,E01000226,36,784,154,15,350,262,118,8,5,1732
2021,Barnet 018E,E01000227,24,616,147,498,176,200,153,52,3,1869
2021,Barnet 007A,E01000228,24,444,92,236,255,256,99,23,8,1437
2021,Barnet 013B,E01000229,33,673,71,311,215,234,112,22,1,1672
2021,Barnet 013C,E01000230,22,326,116,937,180,147,208,25,0,1961
2021,Barnet 013D,E01000231,44,701,198,77,310,271,134,39,12,1786
2021,Barnet 013E,E01000232,15,541,188,514,220,218,126,46,6,1874
2021,Barnet 013F,E01000233,15,627,145,425,217,248,210,41,10,1938
2021,Barnet 021D,E01000234,2,553,101,616,139,233,98,33,5,1780
2021,Barnet 021E,E01000235,13,943,74,82,251,336,147,16,0,1862
2021,Barnet 034A,E01000236,13,283,13,1168,67,141,246,19,2,1952
2021,Barnet 032A,E01000237,7,631,55,745,192,269,185,9,5,2098
2021,Barnet 034B,E01000238,11,496,65,908,107,277,220,7,3,2094
2021,Barnet 031A,E01000239,40,788,63,194,384,421,146,18,0,2054
2021,Barnet 031B,E01000240,16,682,131,218,231,294,140,13,8,1733
2021,Barnet 031C,E01000241,11,517,80,607,163,235,159,5,10,1787
2021,Barnet 032B,E01000242,3,313,62,867,120,94,126,10,2,1597
2021,Barnet 032C,E01000243,4,713,59,622,111,434,203,17,1,2164
2021,Barnet 032D,E01000244,30,699,135,181,184,262,121,24,6,1642
2021,Barnet 032E,E01000245,30,841,59,274,334,320,181,17,1,2057
2021,Barnet 002B,E01000246,15,656,51,84,50,518,129,10,7,1520
2021,Barnet 002C,E01000247,13,714,64,78,69,636,99,18,5,1696
2021,Barnet 001A,E01000248,18,689,28,48,31,743,130,15,0,1702
2021,Barnet 001B,E01000249,11,701,91,80,50,527,124,17,10,1611
2021,Barnet 001C,E01000250,11,1154,67,87,286,776,196,32,1,2610
2021,Barnet 002D,E01000251,13,1092,95,105,137,638,161,17,5,2263
2021,Barnet 002E,E01000252,23,762,48,76,72,571,156,10,0,1718
2021,Barnet 007B,E01000253,8,807,142,370,151,308,140,39,16,1981
2021,Barnet 001D,E01000254,17,721,29,84,41,576,117,12,3,1600
2021,Barnet 017A,E01000255,7,586,67,205,270,352,198,12,4,1701
2021,Barnet 016A,E01000256,1,598,68,449,371,292,128,10,9,1926
2021,Barnet 017B,E01000257,13,721,101,199,329,521,187,21,1,2093
2021,Barnet 016B,E01000258,16,687,73,544,142,315,103,8,3,1891
2021,Barnet 025D,E01000259,18,925,203,335,414,457,211,33,47,2643
2021,Barnet 025E,E01000260,29,825,158,311,346,327,140,28,4,2168
2021,Barnet 017C,E01000261,17,508,34,605,92,367,120,20,5,1768
2021,Barnet 016C,E01000263,3,272,101,768,74,164,125,7,12,1526
2021,Barnet 016D,E01000264,26,615,106,369,255,268,145,22,14,1820
2021,Barnet 011A,E01000265,11,951,103,55,202,415,146,39,0,1922
2021,Barnet 011B,E01000266,7,679,111,231,72,215,95,14,12,1436
2021,Barnet 005A,E01000267,8,708,142,144,112,282,89,38,4,1527
2021,Barnet 005B,E01000268,29,874,80,114,220,552,177,19,9,2074
2021,Barnet 005C,E01000269,2,673,74,92,95,319,92,24,16,1387
2021,Barnet 005D,E01000270,9,671,59,161,113,391,102,36,1,1543
2021,Barnet 008A,E01000271,11,682,91,242,123,303,153,24,7,1636
2021,Barnet 008B,E01000272,6,624,130,190,95,243,112,23,2,1425
2021,Barnet 008C,E01000273,13,668,100,174,148,415,107,28,15,1668
2021,Barnet 011C,E01000274,11,899,122,68,238,448,130,20,0,1936
2021,Barnet 012A,E01000275,57,494,145,268,167,344,199,62,4,1740
2021,Barnet 020A,E01000276,21,431,130,371,105,299,110,66,4,1537
2021,Barnet 012B,E01000277,12,619,82,121,200,419,141,49,9,1652
2021,Barnet 020B,E01000278,44,360,138,347,58,314,112,71,35,1479
2021,Barnet 007C,E01000279,5,424,77,478,43,192,106,13,27,1365
2021,Barnet 007D,E01000280,17,516,88,290,65,222,90,31,17,1336
2021,Barnet 008D,E01000281,28,684,111,132,139,516,146,31,2,1789
2021,Barnet 008E,E01000282,17,751,137,185,115,438,132,19,11,1805
2021,Barnet 012C,E01000283,12,421,114,373,90,198,105,45,14,1372
2021,Barnet 012D,E01000284,11,750,104,105,198,441,160,34,3,1806
2021,Barnet 004A,E01000285,15,726,132,48,93,378,112,4,7,1515
2021,Barnet 007E,E01000286,12,778,113,40,143,469,132,23,8,1718
2021,Barnet 004B,E01000287,13,836,64,18,134,418,119,24,4,1630
2021,Barnet 004C,E01000288,27,749,79,48,134,378,123,8,1,1547
2021,Barnet 004D,E01000289,10,721,42,9,237,403,109,53,0,1584
2021,Barnet 007F,E01000290,9,676,110,155,133,396,111,20,6,1616
2021,Barnet 004E,E01000291,15,691,75,21,172,463,101,23,0,1561
2021,Barnet 001E,E01000292,10,746,84,71,108,417,95,12,3,1546
2021,Barnet 001F,E01000293,16,865,76,82,90,490,120,17,17,1773
2021,Barnet 004F,E01000294,36,917,59,67,81,505,111,34,1,1811
2021,Barnet 023B,E01000295,22,522,114,181,121,474,134,36,12,1616
2021,Barnet 023C,E01000296,35,750,82,120,106,487,168,34,7,1789
2021,Barnet 027D,E01000297,6,501,227,92,137,326,102,21,8,1420
2021,Barnet 023D,E01000298,28,558,137,205,156,468,122,32,5,1711
2021,Barnet 019A,E01000299,23,770,180,59,453,506,176,51,1,2219
2021,Barnet 019B,E01000300,31,574,115,132,110,490,123,70,22,1667
2021,Barnet 020C,E01000301,48,422,156,208,78,380,141,52,10,1495
2021,Barnet 019C,E01000302,14,632,117,135,235,477,146,29,12,1797
2021,Barnet 020D,E01000303,36,460,103,202,88,365,136,27,85,1502
2021,Barnet 020E,E01000304,16,567,90,132,135,443,133,28,15,1559
2021,Barnet 036B,E01000305,16,647,136,37,369,270,112,32,3,1622
2021,Barnet 036C,E01000306,13,892,385,38,249,257,102,25,12,1973
2021,Barnet 039D,E01000307,47,589,157,25,456,221,124,31,1,1651
2021,Barnet 036D,E01000308,21,864,136,49,381,482,146,25,7,2111
2021,Barnet 031D,E01000309,14,691,120,427,304,294,179,22,2,2053
2021,Barnet 034C,E01000310,13,767,233,272,326,391,172,18,0,2192
2021,Barnet 034D,E01000311,3,214,36,1168,42,106,194,6,2,1771
2021,Barnet 036E,E01000312,22,900,134,19,303,281,93,13,1,1766
2021,Barnet 036F,E01000313,27,812,130,100,477,213,115,24,2,1900
2021,Barnet 032F,E01000314,53,751,194,307,273,342,215,28,3,2166
2021,Barnet 022F,E01000315,10,724,185,15,244,385,118,18,0,1699
2021,Barnet 027E,E01000316,15,839,224,126,329,535,160,35,25,2288
2021,Barnet 019D,E01000317,21,514,119,176,158,447,124,17,6,1582
2021,Barnet 019E,E01000318,16,641,253,87,391,304,139,86,4,1921
2021,Barnet 027F,E01000319,16,416,114,258,78,375,117,12,15,1401
2021,Barnet 011D,E01000320,28,792,137,126,151,475,179,38,4,1930
2021,Barnet 012E,E01000321,33,831,94,142,130,520,169,27,14,1960
2021,Barnet 011E,E01000322,17,781,68,103,230,486,151,20,3,1859
2021,Barnet 019F,E01000323,34,1009,139,67,316,523,217,50,11,2366
2021,Barnet 015F,E01000324,17,826,122,111,197,378,128,37,14,1830
2021,Bexley 014A,E01000325,15,823,35,1,39,608,90,2,34,1647
2021,Bexley 014B,E01000326,6,725,17,1,52,480,82,2,16,1381
2021,Bexley 017A,E01000327,11,796,76,1,43,525,89,4,83,1628
2021,Bexley 017B,E01000328,7,916,27,2,41,539,90,4,12,1638
2021,Bexley 017C,E01000329,13,781,76,0,55,628,94,10,38,1695
2021,Bexley 017D,E01000330,24,815,30,1,58,608,83,18,20,1657
2021,Bexley 017E,E01000331,14,824,17,2,76,640,107,8,4,1692
2021,Bexley 005A,E01000332,22,785,40,1,50,474,84,9,128,1593
2021,Bexley 003A,E01000333,7,961,41,0,106,670,84,8,40,1917
2021,Bexley 006A,E01000334,14,797,72,3,43,543,90,4,107,1673
2021,Bexley 003B,E01000335,28,1465,66,4,163,700,174,13,113,2726
2021,Bexley 003C,E01000336,14,996,71,2,122,584,98,2,109,1998
2021,Bexley 003D,E01000337,7,868,38,1,84,564,112,1,61,1736
2021,Bexley 003E,E01000338,15,878,69,2,71,588,114,7,110,1854
2021,Bexley 025A,E01000339,6,736,23,6,59,676,95,9,7,1617
2021,Bexley 018A,E01000340,22,776,35,0,51,570,101,4,26,1585
2021,Bexley 022A,E01000341,10,831,22,1,36,536,83,8,15,1542
2021,Bexley 022B,E01000342,6,766,28,2,31,616,71,2,2,1524
2021,Bexley 022C,E01000343,4,762,25,0,58,565,83,1,11,1509
2021,Bexley 025B,E01000344,9,830,11,1,28,597,105,10,1,1592
2021,Bexley 022D,E01000345,6,678,29,1,17,520,85,2,3,1341
2021,Bexley 021A,E01000346,18,794,22,2,45,618,71,11,8,1589
2021,Bexley 021B,E01000347,6,759,40,2,54,577,74,5,6,1523
2021,Bexley 020A,E01000348,1,805,29,1,30,521,87,2,41,1517
2021,Bexley 020B,E01000349,6,921,48,4,47,542,112,4,39,1723
2021,Bexley 021C,E01000350,9,778,20,0,50,536,82,6,5,1486
2021,Bexley 024A,E01000351,4,837,41,0,38,559,111,3,19,1612
2021,Bexley 021D,E01000352,11,720,51,2,67,626,127,4,9,1617
2021,Bexley 011A,E01000353,4,917,49,3,29,452,103,6,72,1635
2021,Bexley 011B,E01000354,13,771,67,2,33,499,73,3,28,1489
2021,Bexley 011C,E01000355,12,768,36,0,7,481,102,1,33,1440
2021,Bexley 009A,E01000356,29,761,153,0,24,453,70,1,78,1569
2021,Bexley 009B,E01000357,10,653,100,3,54,458,67,3,53,1401
2021,Bexley 011D,E01000358,11,858,61,0,70,491,104,11,52,1658
2021,Bexley 009C,E01000359,17,670,48,0,27,381,65,0,55,1263
2021,Bexley 015A,E01000360,30,856,70,0,98,697,135,10,11,1907
2021,Bexley 020C,E01000361,7,671,42,2,62,684,98,8,17,1591
2021,Bexley 015B,E01000362,18,874,53,0,67,677,97,11,65,1862
2021,Bexley 020D,E01000363,10,716,84,2,48,552,78,1,68,1559
2021,Bexley 023A,E01000364,5,881,72,0,62,522,100,3,52,1697
2021,Bexley 015C,E01000365,9,865,47,1,75,570,121,6,36,1730
2021,Bexley 015D,E01000366,19,733,84,2,58,612,106,6,21,1641
2021,Bexley 010A,E01000367,20,1163,50,2,111,786,101,8,27,2268
2021,Bexley 010B,E01000368,9,746,34,0,89,673,94,6,27,1678
