date,geography,geography code,Household deprivation: Household is deprived in four dimensions,Household deprivation: Household is deprived in one dimension,Household deprivation: Household is deprived in three dimensions,Household deprivation: Household is deprived in two dimensions,Household deprivation: Household is not deprived in any dimension,Household deprivation: Total: All households
2021,Kensington and Chelsea 011E,E01002865,0,116,2,22,422,562
2021,Kensington and Chelsea 009B,E01002866,4,256,30,93,382,765
2021,Kensington and Chelsea 009C,E01002867,9,246,46,130,379,810
2021,Kensington and Chelsea 009D,E01002868,0,127,2,18,382,529
2021,Kensington and Chelsea 009E,E01002869,5,243,40,90,373,751
2021,Kensington and Chelsea 005A,E01002870,11,233,81,165,202,692
2021,Kensington and Chelsea 007B,E01002871,0,128,10,40,468,646
2021,Kensington and Chelsea 005B,E01002872,3,237,55,131,230,656
2021,Kensington and Chelsea 007C,E01002873,0,180,22,91,364,657
2021,Kensington and Chelsea 007D,E01002874,13,158,21,75,320,587
2021,Kensington and Chelsea 007E,E01002875,4,164,13,39,358,578
2021,Kensington and Chelsea 003A,E01002876,3,237,28,61,365,694
2021,Kensington and Chelsea 003B,E01002877,7,254,64,158,277,760
2021,Kensington and Chelsea 003C,E01002878,11,234,47,136,325,753
2021,Kensington and Chelsea 005C,E01002879,13,221,126,140,204,704
2021,Kensington and Chelsea 005D,E01002880,3,169,43,113,126,454
2021,Kensington and Chelsea 005E,E01002881,2,157,72,106,174,511
2021,Kensington and Chelsea 006A,E01002882,1,174,17,70,297,559
2021,Kensington and Chelsea 006B,E01002883,0,162,5,40,442,649
2021,Kensington and Chelsea 006C,E01002884,2,197,20,72,305,596
2021,Kensington and Chelsea 006D,E01002885,2,283,10,72,436,803
2021,Kensington and Chelsea 006E,E01002886,2,180,7,65,411,665
2021,Kensington and Chelsea 010A,E01002887,0,153,8,31,359,551
2021,Kensington and Chelsea 013E,E01002888,1,298,7,61,459,826
2021,Kensington and Chelsea 010B,E01002889,0,178,5,36,347,566
2021,Kensington and Chelsea 010C,E01002890,0,110,3,21,431,565
2021,Kensington and Chelsea 010D,E01002891,0,154,9,27,369,559
2021,Kensington and Chelsea 010E,E01002892,0,185,12,41,401,639
2021,Kensington and Chelsea 017C,E01002893,6,281,39,109,467,902
2021,Kensington and Chelsea 017D,E01002894,4,207,15,50,377,653
2021,Kensington and Chelsea 020C,E01002896,0,204,9,55,492,760
2021,Kensington and Chelsea 020D,E01002897,9,185,35,56,412,697
2021,Kensington and Chelsea 017E,E01002898,0,204,14,43,413,674
2021,Kensington and Chelsea 018A,E01002899,9,202,24,92,311,638
2021,Kensington and Chelsea 018B,E01002900,0,161,5,17,384,567
2021,Kensington and Chelsea 018C,E01002901,0,118,6,41,275,440
2021,Kensington and Chelsea 018D,E01002902,3,187,20,66,437,713
2021,Kensington and Chelsea 018E,E01002903,0,118,5,22,421,566
2021,Kensington and Chelsea 002A,E01002904,4,164,51,150,129,498
2021,Kensington and Chelsea 002B,E01002905,5,206,81,163,201,656
2021,Kensington and Chelsea 002C,E01002906,8,200,51,133,254,646
2021,Kensington and Chelsea 002D,E01002907,6,212,47,125,123,513
