date,geography,geography code,Age of arrival in the UK: Arrived in the UK,Age of arrival in the UK: Arrived in the UK: Aged 0 to 4 years,Age of arrival in the UK: Arrived in the UK: Aged 10 to 14 years,Age of arrival in the UK: Arrived in the UK: Aged 15 years,Age of arrival in the UK: Arrived in the UK: Aged 16 to 17 years,Age of arrival in the UK: Arrived in the UK: Aged 18 to 19 years,Age of arrival in the UK: Arrived in the UK: Aged 20 to 24 years,Age of arrival in the UK: Arrived in the UK: Aged 25 to 29 years,Age of arrival in the UK: Arrived in the UK: Aged 30 to 44 years,Age of arrival in the UK: Arrived in the UK: Aged 45 to 59 years,Age of arrival in the UK: Arrived in the UK: Aged 5 to 7 years,Age of arrival in the UK: Arrived in the UK: Aged 60 to 64 years,Age of arrival in the UK: Arrived in the UK: Aged 65 to 74 years,Age of arrival in the UK: Arrived in the UK: Aged 75 to 84 years,Age of arrival in the UK: Arrived in the UK: Aged 8 to 9 years,Age of arrival in the UK: Arrived in the UK: Aged 85 to 89 years,Age of arrival in the UK: Arrived in the UK: Aged 90 years and over,Age of arrival in the UK: Born in the UK,Age of arrival in the UK: Total: All usual residents
2021,Bexley 017A,E01000327,251,34,16,4,13,15,48,46,55,8,4,3,0,0,5,0,0,1372,1623
2021,Bexley 017B,E01000328,211,25,7,4,7,10,53,36,42,8,11,0,0,0,8,0,0,1428,1639
2021,Bexley 017C,E01000329,360,37,21,11,18,26,75,70,61,10,13,5,3,0,10,0,0,1335,1695
2021,Bexley 017D,E01000330,338,29,22,2,16,26,62,62,77,17,16,2,1,2,4,0,0,1318,1656
2021,Bexley 017E,E01000331,276,29,19,4,9,15,60,42,64,14,14,0,0,0,6,0,0,1413,1689
2021,Bexley 005A,E01000332,381,46,27,8,15,32,76,50,75,11,19,4,4,0,14,0,0,1213,1594
2021,Bexley 003A,E01000333,471,52,26,9,17,17,102,95,101,12,22,0,6,1,11,0,0,1449,1920
2021,Bexley 006A,E01000334,346,31,32,13,14,22,74,53,70,13,16,1,0,0,7,0,0,1329,1675
2021,Bexley 003B,E01000335,1207,95,77,13,39,87,249,206,285,65,46,11,5,2,27,0,0,1519,2726
2021,Bexley 003C,E01000336,724,60,39,11,35,44,129,128,168,41,39,7,5,0,18,0,0,1275,1999
2021,Bexley 003D,E01000337,545,49,39,10,21,33,101,92,129,23,24,3,1,0,20,0,0,1193,1738
2021,Bexley 003E,E01000338,619,48,36,13,18,36,133,118,141,27,24,8,2,2,13,0,0,1237,1856
2021,Bexley 025A,E01000339,167,19,8,4,3,14,36,43,24,5,6,1,1,1,2,0,0,1451,1618
2021,Bexley 018A,E01000340,214,17,17,1,10,14,54,48,27,6,8,2,1,1,7,1,0,1369,1583
2021,Bexley 022A,E01000341,171,20,14,2,11,14,36,30,32,1,8,0,0,0,3,0,0,1372,1543
2021,Bexley 022B,E01000342,163,17,8,2,2,7,37,29,33,12,7,0,3,1,5,0,0,1360,1523
2021,Bexley 022C,E01000343,178,20,11,0,15,6,33,33,37,6,11,1,2,0,3,0,0,1331,1509
2021,Bexley 025B,E01000344,184,21,11,0,5,18,40,32,32,3,17,0,0,1,4,0,0,1407,1591
