date,geography,geography code,Age of arrival in the UK: Arrived in the UK,Age of arrival in the UK: Arrived in the UK: Aged 0 to 4 years,Age of arrival in the UK: Arrived in the UK: Aged 10 to 14 years,Age of arrival in the UK: Arrived in the UK: Aged 15 years,Age of arrival in the UK: Arrived in the UK: Aged 16 to 17 years,Age of arrival in the UK: Arrived in the UK: Aged 18 to 19 years,Age of arrival in the UK: Arrived in the UK: Aged 20 to 24 years,Age of arrival in the UK: Arrived in the UK: Aged 25 to 29 years,Age of arrival in the UK: Arrived in the UK: Aged 30 to 44 years,Age of arrival in the UK: Arrived in the UK: Aged 45 to 59 years,Age of arrival in the UK: Arrived in the UK: Aged 5 to 7 years,Age of arrival in the UK: Arrived in the UK: Aged 60 to 64 years,Age of arrival in the UK: Arrived in the UK: Aged 65 to 74 years,Age of arrival in the UK: Arrived in the UK: Aged 75 to 84 years,Age of arrival in the UK: Arrived in the UK: Aged 8 to 9 years,Age of arrival in the UK: Arrived in the UK: Aged 85 to 89 years,Age of arrival in the UK: Arrived in the UK: Aged 90 years and over,Age of arrival in the UK: Born in the UK,Age of arrival in the UK: Total: All usual residents
2021,Kensington and Chelsea 003A,E01002876,650,60,28,3,23,41,88,108,178,55,31,18,5,0,12,0,0,1179,1829
2021,Kensington and Chelsea 003B,E01002877,913,100,52,14,54,41,207,181,162,51,29,4,0,1,17,0,0,1272,2185
2021,Kensington and Chelsea 003C,E01002878,657,44,38,14,21,33,133,146,144,40,13,6,8,0,15,1,1,790,1447
2021,Kensington and Chelsea 005C,E01002879,771,55,38,9,41,54,183,142,149,56,19,6,7,0,12,0,0,1172,1943
2021,Kensington and Chelsea 005D,E01002880,521,26,26,12,18,76,87,91,118,21,19,2,4,11,10,0,0,624,1145
2021,Kensington and Chelsea 005E,E01002881,547,58,26,6,18,29,114,97,137,21,25,3,2,0,11,0,0,812,1359
2021,Kensington and Chelsea 006A,E01002882,509,40,23,2,17,22,86,113,134,44,15,2,4,1,6,0,0,540,1049
2021,Kensington and Chelsea 006B,E01002883,770,82,23,8,20,45,137,154,203,60,19,6,4,0,9,0,0,706,1476
2021,Kensington and Chelsea 006C,E01002884,880,44,23,11,70,45,219,174,172,77,15,16,5,0,8,1,0,506,1386
2021,Kensington and Chelsea 006D,E01002885,792,34,21,5,37,45,190,165,211,50,11,9,4,0,10,0,0,529,1321
2021,Kensington and Chelsea 006E,E01002886,679,52,21,6,27,24,116,155,170,59,25,4,9,0,11,0,0,637,1316
2021,Kensington and Chelsea 010A,E01002887,703,35,28,10,28,55,160,127,169,58,11,7,4,5,6,0,0,342,1045
2021,Kensington and Chelsea 013E,E01002888,1095,60,38,11,65,121,296,185,218,70,16,5,6,0,4,0,0,467,1562
2021,Kensington and Chelsea 010B,E01002889,1198,81,85,34,41,63,133,111,308,200,75,16,10,2,38,1,0,362,1560
2021,Kensington and Chelsea 010C,E01002890,815,85,43,10,20,26,102,101,239,103,36,13,10,0,27,0,0,588,1403
2021,Kensington and Chelsea 010D,E01002891,777,39,30,24,36,52,133,123,170,121,11,6,14,5,13,0,0,407,1184
2021,Kensington and Chelsea 010E,E01002892,825,57,37,12,47,57,160,134,210,57,13,8,13,4,16,0,0,464,1289
2021,Kensington and Chelsea 017C,E01002893,911,52,39,16,40,56,205,185,207,68,20,2,8,0,12,1,0,666,1577
2021,Kensington and Chelsea 017D,E01002894,821,64,27,13,41,55,189,146,201,40,19,8,3,4,11,0,0,499,1320
2021,Kensington and Chelsea 020C,E01002896,920,77,40,4,30,40,142,197,266,77,23,8,3,3,10,0,0,669,1589
2021,Kensington and Chelsea 020D,E01002897,774,36,22,12,22,58,193,156,190,47,21,2,5,2,8,0,0,715,1489
2021,Kensington and Chelsea 017E,E01002898,1153,118,89,14,22,40,121,136,357,137,56,8,9,4,41,1,0,513,1666
2021,Kensington and Chelsea 018A,E01002899,576,31,27,6,30,31,99,104,138,66,18,5,9,1,11,0,0,669,1245
2021,Kensington and Chelsea 018B,E01002900,869,72,36,6,16,50,82,116,288,132,13,26,6,3,22,1,0,821,1690
2021,Kensington and Chelsea 018C,E01002901,431,43,16,3,11,14,61,67,120,58,12,7,3,4,10,2,0,614,1045
2021,Kensington and Chelsea 018D,E01002902,722,42,26,9,26,48,112,130,198,59,27,8,13,8,15,1,0,507,1229
2021,Kensington and Chelsea 018E,E01002903,590,64,27,10,18,21,79,86,174,59,18,8,11,1,14,0,0,685,1275
2021,Kensington and Chelsea 002A,E01002904,479,31,24,7,21,34,105,89,112,22,13,4,4,1,12,0,0,816,1295
2021,Kensington and Chelsea 002B,E01002905,773,57,74,11,32,54,169,118,144,70,21,3,5,3,12,0,0,898,1671
2021,Kensington and Chelsea 002C,E01002906,657,52,36,11,35,44,142,103,141,31,31,4,6,2,18,1,0,1088,1745
2021,Kensington and Chelsea 002D,E01002907,451,26,36,13,39,37,70,69,105,19,14,6,2,0,15,0,0,834,1285
2021,Kensington and Chelsea 003D,E01002908,536,43,26,9,19,35,102,101,132,23,16,4,10,1,15,0,0,860,1396
2021,Kensington and Chelsea 003E,E01002909,801,69,47,9,28,52,138,169,190,49,24,3,5,0,18,0,0,1336,2137
2021,Kensington and Chelsea 019C,E01002910,721,60,27,5,41,38,100,139,201,79,11,6,4,3,7,0,0,648,1369
2021,Kensington and Chelsea 019D,E01002911,663,59,33,6,23,25,94,111,194,72,15,7,5,5,14,0,0,621,1284
2021,Kensington and Chelsea 020E,E01002912,804,33,19,2,36,51,211,202,170,37,13,9,3,1,15,0,2,676,1480
2021,Kensington and Chelsea 021E,E01002913,944,81,55,17,37,40,171,175,240,72,25,3,11,3,14,0,0,821,1765
2021,Kensington and Chelsea 019E,E01002914,624,63,26,7,29,30,76,110,171,61,18,13,8,1,10,1,0,570,1194
2021,Kingston upon Thames 014A,E01002915,477,40,29,5,13,28,96,76,101,22,36,4,6,0,21,0,0,914,1391
2021,Kingston upon Thames 014B,E01002916,398,43,19,7,16,11,91,70,88,18,17,1,3,4,10,0,0,1080,1478
2021,Kingston upon Thames 014C,E01002917,369,36,24,5,12,33,85,59,67,24,13,1,3,0,7,0,0,1054,1423
2021,Kingston upon Thames 017A,E01002918,612,55,28,10,17,26,105,106,165,48,33,4,1,2,12,0,0,1174,1786
2021,Kingston upon Thames 017B,E01002919,905,80,68,18,38,55,149,152,222,52,30,5,8,0,28,0,0,1086,1991
2021,Kingston upon Thames 014D,E01002920,375,43,18,1,12,14,75,88,74,23,9,2,5,1,10,0,0,1218,1593
2021,Kingston upon Thames 011A,E01002921,720,47,25,11,22,43,146,142,179,59,22,4,4,2,14,0,0,1004,1724
2021,Kingston upon Thames 010A,E01002922,383,41,23,6,8,23,70,65,99,23,11,4,3,0,7,0,0,1252,1635
2021,Kingston upon Thames 013A,E01002923,555,49,36,9,20,35,109,97,110,41,18,7,6,1,16,1,0,1115,1670
2021,Kingston upon Thames 014E,E01002924,259,30,17,5,11,25,50,46,50,7,8,1,1,0,8,0,0,1288,1547
2021,Kingston upon Thames 013B,E01002925,419,34,19,7,20,14,83,83,105,26,18,1,2,1,6,0,0,1156,1575
2021,Kingston upon Thames 010B,E01002926,379,50,24,0,15,29,78,78,61,22,12,1,1,0,8,0,0,1222,1601
2021,Kingston upon Thames 008A,E01002927,610,65,31,10,18,26,92,126,161,26,21,7,11,1,15,0,0,1071,1681
2021,Kingston upon Thames 008B,E01002928,773,49,46,12,19,39,161,146,192,57,24,6,3,6,13,0,0,1173,1946
2021,Kingston upon Thames 007A,E01002929,464,59,23,5,12,16,89,88,114,25,16,2,0,0,15,0,0,1232,1696
2021,Kingston upon Thames 007B,E01002930,850,78,43,8,31,44,142,164,233,60,27,1,7,1,11,0,0,1118,1968
2021,Kingston upon Thames 007C,E01002931,664,64,33,7,23,37,113,124,161,53,25,4,1,1,18,0,0,1350,2014
2021,Kingston upon Thames 006A,E01002932,798,64,61,15,32,80,141,118,167,46,36,6,3,3,26,0,0,1248,2046
2021,Kingston upon Thames 004A,E01002933,529,64,25,8,16,31,84,96,120,30,26,3,5,3,18,0,0,1511,2040
2021,Kingston upon Thames 004B,E01002934,514,73,34,6,20,17,77,88,125,27,19,2,2,1,23,0,0,1388,1902
2021,Kingston upon Thames 003A,E01002935,804,83,31,6,29,39,137,197,174,42,34,7,8,1,16,0,0,1098,1902
2021,Kingston upon Thames 004D,E01002937,445,53,31,6,16,13,89,96,99,13,17,2,3,0,6,1,0,1380,1825
2021,Kingston upon Thames 003B,E01002938,475,55,22,4,19,29,78,89,91,34,23,7,6,2,16,0,0,1523,1998
2021,Kingston upon Thames 018A,E01002939,427,44,25,2,18,31,78,73,99,23,18,3,2,0,11,0,0,1220,1647
2021,Kingston upon Thames 020A,E01002940,351,23,26,1,10,21,68,65,83,30,14,1,0,1,8,0,0,1321,1672
2021,Kingston upon Thames 018B,E01002941,406,38,24,6,10,25,72,69,103,29,19,1,3,0,7,0,0,1242,1648
2021,Kingston upon Thames 018C,E01002942,215,28,15,6,5,10,44,39,51,5,5,0,1,0,6,0,0,1186,1401
2021,Kingston upon Thames 020B,E01002943,344,35,20,5,12,24,53,56,84,18,16,4,5,0,12,0,0,1134,1478
2021,Kingston upon Thames 019A,E01002944,263,31,13,1,9,18,51,55,57,10,10,0,0,0,8,0,0,1069,1332
2021,Kingston upon Thames 019B,E01002945,301,23,17,2,7,20,72,39,78,22,11,0,0,0,10,0,0,1273,1574
2021,Kingston upon Thames 019C,E01002946,269,21,18,3,14,15,58,49,54,15,10,2,5,1,4,0,0,1240,1509
2021,Kingston upon Thames 019D,E01002947,322,28,23,10,11,28,55,55,73,18,13,1,1,0,6,0,0,1325,1647
2021,Kingston upon Thames 020C,E01002948,542,59,32,11,25,27,101,81,123,33,22,5,6,0,17,0,0,1669,2211
2021,Kingston upon Thames 020D,E01002949,367,46,29,6,8,18,71,69,76,23,11,1,2,0,7,0,0,1478,1845
2021,Kingston upon Thames 020E,E01002950,351,36,15,4,20,33,57,63,70,25,14,0,3,3,7,1,0,1303,1654
2021,Kingston upon Thames 003C,E01002951,618,67,31,5,12,25,97,124,161,39,28,4,2,1,21,0,1,888,1506
2021,Kingston upon Thames 002A,E01002952,669,66,68,18,29,20,68,83,170,73,39,8,8,1,18,0,0,726,1395
2021,Kingston upon Thames 002B,E01002953,613,57,40,10,26,38,106,89,136,51,28,4,8,1,19,0,0,719,1332
2021,Kingston upon Thames 003D,E01002954,693,46,27,4,21,24,111,170,191,31,22,9,15,3,18,1,0,679,1372
2021,Kingston upon Thames 002C,E01002955,698,56,58,4,18,42,120,113,157,53,49,5,5,0,15,3,0,804,1502
2021,Kingston upon Thames 002D,E01002956,621,57,39,13,34,42,102,83,154,46,21,6,5,2,17,0,0,770,1391
2021,Kingston upon Thames 003E,E01002957,719,69,39,11,22,45,130,146,157,32,32,6,4,2,24,0,0,870,1589
2021,Kingston upon Thames 008C,E01002958,460,47,29,5,9,23,106,80,113,12,17,0,2,0,17,0,0,1276,1736
2021,Kingston upon Thames 002E,E01002959,535,63,44,5,17,27,98,73,120,32,29,6,5,1,14,1,0,853,1388
2021,Kingston upon Thames 006B,E01002960,652,61,34,8,29,43,117,109,154,35,32,9,6,1,14,0,0,938,1590
2021,Kingston upon Thames 008D,E01002961,621,59,46,10,18,35,97,105,158,32,33,4,1,4,19,0,0,1134,1755
2021,Kingston upon Thames 006C,E01002962,616,55,42,7,20,40,88,132,137,35,30,7,5,1,17,0,0,996,1612
2021,Kingston upon Thames 007D,E01002963,816,72,36,9,23,34,124,163,220,56,30,10,11,1,27,0,0,1031,1847
2021,Kingston upon Thames 005A,E01002964,925,86,47,16,54,85,214,134,182,51,30,9,4,0,13,0,0,1590,2515
2021,Kingston upon Thames 009A,E01002965,1032,87,68,20,54,91,172,184,215,67,31,6,3,2,32,0,0,1487,2519
2021,Kingston upon Thames 010C,E01002966,497,56,37,5,11,34,93,90,119,15,16,1,2,1,17,0,0,1487,1984
2021,Kingston upon Thames 009B,E01002967,661,62,40,5,20,36,96,136,186,30,23,9,1,1,15,1,0,1202,1863
2021,Kingston upon Thames 009C,E01002968,1360,93,73,12,80,139,295,232,262,75,54,5,10,1,29,0,0,1548,2908
2021,Kingston upon Thames 005B,E01002969,825,77,57,15,48,55,160,150,167,40,24,7,4,2,18,1,0,1076,1901
2021,Kingston upon Thames 006D,E01002970,751,64,55,9,17,41,137,145,195,40,23,4,3,2,16,0,0,1060,1811
2021,Kingston upon Thames 005C,E01002971,590,53,33,6,18,32,112,132,146,27,18,1,0,0,11,1,0,1206,1796
2021,Kingston upon Thames 005D,E01002972,868,73,40,10,34,66,172,151,205,51,38,4,2,0,22,0,0,1179,2047
2021,Kingston upon Thames 006E,E01002973,665,46,42,13,23,25,117,129,170,41,29,4,2,1,22,1,0,913,1578
2021,Kingston upon Thames 005E,E01002974,717,86,30,10,30,42,119,153,151,34,31,3,5,2,21,0,0,1341,2058
2021,Kingston upon Thames 012A,E01002975,639,61,38,12,17,37,111,123,154,30,28,5,6,3,14,0,0,847,1486
2021,Kingston upon Thames 015A,E01002976,414,41,18,3,11,25,92,93,82,15,16,0,4,2,12,0,0,1303,1717
2021,Kingston upon Thames 012B,E01002977,573,48,52,7,17,27,95,97,142,44,24,1,4,1,14,0,0,1126,1699
2021,Kingston upon Thames 015B,E01002978,575,51,44,7,21,32,95,95,142,33,24,10,7,3,10,0,1,1280,1855
2021,Kingston upon Thames 015C,E01002979,401,49,28,8,13,25,68,70,88,22,14,1,4,3,8,0,0,1129,1530
2021,Kingston upon Thames 012C,E01002980,544,58,32,5,18,31,91,95,133,30,21,4,4,1,21,0,0,862,1406
2021,Kingston upon Thames 012D,E01002981,591,53,36,8,30,29,125,96,127,32,23,6,5,1,20,0,0,1009,1600
2021,Kingston upon Thames 015D,E01002982,582,58,38,6,18,30,101,86,163,28,27,4,10,0,13,0,0,903,1485
2021,Kingston upon Thames 015E,E01002983,571,64,50,11,16,28,94,90,144,29,22,4,3,3,13,0,0,1099,1670
2021,Kingston upon Thames 012E,E01002984,633,51,40,9,16,22,92,107,165,64,34,5,9,0,19,0,0,798,1431
2021,Kingston upon Thames 007E,E01002985,856,75,49,10,23,28,129,148,266,50,41,13,7,2,15,0,0,862,1718
2021,Kingston upon Thames 008E,E01002986,495,42,31,8,15,20,96,87,113,29,18,5,11,2,18,0,0,873,1368
2021,Kingston upon Thames 011B,E01002987,822,59,37,8,17,57,168,148,216,56,23,5,11,2,15,0,0,1074,1896
2021,Kingston upon Thames 011C,E01002988,557,56,22,10,27,34,156,82,110,20,23,3,1,1,12,0,0,1121,1678
2021,Kingston upon Thames 011D,E01002989,512,44,23,1,23,17,96,116,142,17,23,0,1,0,9,0,0,1388,1900
2021,Kingston upon Thames 009D,E01002990,614,49,27,8,21,50,101,105,168,40,23,2,8,0,12,0,0,1094,1708
2021,Kingston upon Thames 009E,E01002991,497,43,28,5,20,28,112,95,97,28,20,7,3,3,8,0,0,1064,1561
2021,Kingston upon Thames 010D,E01002992,500,51,45,2,26,56,103,81,77,13,20,4,3,0,19,0,0,1069,1569
2021,Kingston upon Thames 013C,E01002993,567,45,21,4,18,31,104,119,161,28,14,2,6,0,14,0,0,1008,1575
2021,Kingston upon Thames 016A,E01002994,412,47,24,4,23,27,63,71,98,20,14,3,3,3,12,0,0,1092,1504
2021,Kingston upon Thames 013D,E01002995,457,52,24,3,17,21,80,76,102,31,16,6,7,2,20,0,0,1143,1600
2021,Kingston upon Thames 016B,E01002996,404,48,16,8,16,26,72,74,93,19,14,2,5,2,9,0,0,1142,1546
2021,Kingston upon Thames 016C,E01002997,335,38,16,5,14,25,61,67,78,7,11,1,1,0,10,1,0,1187,1522
2021,Kingston upon Thames 016D,E01002998,415,42,21,6,17,21,79,86,101,16,12,0,2,0,12,0,0,1195,1610
2021,Kingston upon Thames 013E,E01002999,593,53,33,8,19,48,110,119,145,20,23,3,0,0,12,0,0,942,1535
2021,Kingston upon Thames 017C,E01003000,665,53,43,11,28,40,127,136,139,29,26,3,4,3,23,0,0,1208,1873
2021,Kingston upon Thames 017D,E01003001,739,71,49,10,26,36,130,122,187,40,31,6,6,0,25,0,0,1177,1916
2021,Kingston upon Thames 016E,E01003002,546,45,40,2,14,30,106,108,120,36,20,8,7,0,10,0,0,1362,1908
2021,Kingston upon Thames 017E,E01003003,710,59,31,7,20,34,139,121,195,56,30,5,5,2,6,0,0,1011,1721
2021,Kingston upon Thames 018D,E01003004,507,39,36,7,9,26,110,79,125,30,24,3,3,1,15,0,0,1137,1644
2021,Kingston upon Thames 018E,E01003005,302,32,21,2,13,21,71,47,62,15,8,1,2,1,5,1,0,1237,1539
2021,Kingston upon Thames 001A,E01003006,630,93,27,4,19,21,69,85,194,49,38,4,5,1,20,1,0,893,1523
2021,Kingston upon Thames 001B,E01003007,579,76,32,7,11,20,81,113,148,34,32,3,2,0,18,2,0,1051,1630
2021,Kingston upon Thames 001C,E01003008,447,48,16,3,12,20,77,87,133,13,21,1,6,1,8,0,1,1001,1448
2021,Kingston upon Thames 001D,E01003009,614,79,36,3,20,20,93,106,185,17,33,2,3,2,15,0,0,1443,2057
2021,Kingston upon Thames 001E,E01003010,363,50,20,2,5,16,59,76,85,12,26,1,0,1,10,0,0,1076,1439
2021,Kingston upon Thames 004E,E01003011,540,66,30,12,21,19,83,72,152,25,32,5,4,2,17,0,0,1151,1691
2021,Lambeth 036A,E01003013,1345,23,58,21,108,205,488,214,161,31,15,4,2,1,14,0,0,602,1947
2021,Lambeth 036B,E01003014,646,34,35,10,27,52,141,117,155,37,15,5,3,2,13,0,0,860,1506
2021,Lambeth 002A,E01003015,700,49,47,13,35,61,147,135,148,24,17,5,6,3,10,0,0,1019,1719
2021,Lambeth 036C,E01003016,554,37,34,13,93,97,107,57,65,12,20,5,3,1,10,0,0,645,1199
2021,Lambeth 036D,E01003017,608,57,31,10,29,58,141,111,124,15,16,2,4,1,9,0,0,1025,1633
2021,Lambeth 020A,E01003018,700,56,33,6,34,45,146,189,131,20,24,0,4,0,12,0,0,1318,2018
2021,Lambeth 015A,E01003019,599,46,44,7,34,31,144,157,94,15,15,3,4,0,5,0,0,1440,2039
2021,Lambeth 016A,E01003020,590,42,23,12,28,35,139,150,108,22,21,0,3,0,7,0,0,1231,1821
2021,Lambeth 021A,E01003021,679,44,65,8,33,39,141,137,123,33,18,4,1,3,25,4,1,1478,2157
2021,Lambeth 021B,E01003022,552,43,37,2,18,26,130,134,107,15,18,2,4,0,16,0,0,1065,1617
2021,Lambeth 021C,E01003023,1053,94,48,12,37,75,232,200,204,71,36,5,4,4,29,0,2,1543,2596
2021,Lambeth 021D,E01003024,791,38,61,15,31,50,138,152,211,39,24,4,5,0,23,0,0,1049,1840
2021,Lambeth 021E,E01003025,769,61,49,14,29,51,153,163,157,34,41,0,4,1,12,0,0,1275,2044
2021,Lambeth 019A,E01003026,446,34,28,2,12,25,97,101,89,17,18,1,2,0,19,1,0,1055,1501
2021,Lambeth 019B,E01003027,380,60,18,3,10,19,95,70,75,11,8,1,1,0,9,0,0,1013,1393
2021,Lambeth 019C,E01003028,482,37,27,8,19,24,134,99,96,9,20,1,0,0,8,0,0,999,1481
2021,Lambeth 017A,E01003029,676,42,34,15,24,43,151,154,150,24,16,5,5,1,12,0,0,1156,1832
2021,Lambeth 019D,E01003030,553,40,18,6,15,25,125,152,127,15,18,1,2,0,9,0,0,1170,1723
2021,Lambeth 023A,E01003031,568,43,42,7,28,31,149,113,102,15,26,0,0,0,12,0,0,1005,1573
2021,Lambeth 017B,E01003032,705,42,44,6,22,35,152,168,156,33,21,8,1,0,17,0,0,1016,1721
2021,Lambeth 019E,E01003033,442,33,19,3,19,22,112,97,94,16,13,3,2,0,9,0,0,1177,1619
2021,Lambeth 012A,E01003034,596,47,34,9,24,38,136,113,123,26,20,5,4,2,15,0,0,1049,1645
2021,Lambeth 012B,E01003035,628,38,23,8,26,30,166,168,127,12,13,0,3,1,13,0,0,1059,1687
2021,Lambeth 012C,E01003036,617,43,24,20,26,40,165,144,105,20,11,3,2,0,14,0,0,1135,1752
2021,Lambeth 013A,E01003037,527,34,45,11,25,45,105,103,107,23,10,4,3,1,11,0,0,920,1447
2021,Lambeth 013B,E01003038,507,61,18,1,27,28,113,110,104,14,17,1,0,0,13,0,0,1194,1701
2021,Lambeth 013C,E01003039,667,57,26,9,20,37,151,170,156,12,17,0,1,0,10,1,0,1375,2042
2021,Lambeth 013D,E01003040,405,26,21,6,14,20,65,104,102,12,19,2,6,3,5,0,0,837,1242
2021,Lambeth 017C,E01003041,576,40,38,11,28,49,124,130,104,13,20,3,5,2,8,1,0,943,1519
2021,Lambeth 013E,E01003042,440,34,17,5,13,23,104,101,110,13,13,0,1,2,4,0,0,667,1107
2021,Lambeth 018A,E01003043,507,44,38,10,19,42,111,92,79,27,19,4,3,1,18,0,0,1113,1620
2021,Lambeth 018B,E01003044,542,42,37,10,20,36,98,111,125,22,19,2,1,0,18,1,0,867,1409
2021,Lambeth 011A,E01003045,922,99,96,13,62,42,139,129,188,47,59,8,8,1,31,0,0,1069,1991
2021,Lambeth 009A,E01003046,737,41,42,16,39,44,126,162,179,38,25,2,4,1,18,0,0,944,1681
2021,Lambeth 011B,E01003047,761,42,35,11,50,45,154,166,162,44,21,8,1,2,20,0,0,1025,1786
2021,Lambeth 009B,E01003048,883,74,58,22,33,42,125,157,248,48,34,10,4,0,28,0,0,1031,1914
2021,Lambeth 011C,E01003049,780,49,73,20,36,44,152,138,157,56,25,4,4,1,20,1,0,991,1771
2021,Lambeth 016B,E01003050,503,30,39,15,24,35,109,106,94,23,12,3,0,2,11,0,0,1080,1583
2021,Lambeth 018C,E01003051,781,56,37,9,18,57,150,180,196,27,16,3,2,0,30,0,0,1314,2095
2021,Lambeth 016C,E01003052,993,66,63,24,55,61,170,173,250,54,37,8,1,0,30,1,0,1235,2228
2021,Lambeth 015B,E01003053,591,38,28,7,14,36,174,114,130,19,16,1,0,2,12,0,0,1085,1676
2021,Lambeth 015C,E01003054,725,39,34,9,26,42,189,217,118,14,18,3,3,0,13,0,0,1465,2190
2021,Lambeth 016D,E01003055,560,45,45,14,16,22,131,114,109,25,18,3,5,0,13,0,0,1041,1601
2021,Lambeth 015D,E01003056,590,44,23,11,33,38,105,164,120,14,24,4,2,0,8,0,0,1115,1705
2021,Lambeth 017D,E01003057,577,36,42,12,31,31,143,115,105,19,17,4,2,1,19,0,0,1127,1704
2021,Lambeth 015E,E01003058,653,45,52,10,24,44,149,142,115,34,22,0,2,0,14,0,0,1323,1976
2021,Lambeth 011D,E01003059,1084,74,73,17,44,102,174,215,260,67,21,4,3,3,27,0,0,1127,2211
2021,Lambeth 011E,E01003060,801,65,47,14,33,45,138,157,194,40,40,4,5,5,13,0,1,893,1694
2021,Lambeth 011F,E01003061,674,50,25,10,26,38,138,116,164,55,16,13,2,0,20,1,0,654,1328
2021,Lambeth 033A,E01003062,523,36,24,6,15,33,109,113,126,21,16,2,3,0,18,0,1,1311,1834
2021,Lambeth 033B,E01003063,471,56,32,10,18,30,69,100,101,11,19,4,2,0,18,1,0,889,1360
2021,Lambeth 028A,E01003064,392,48,21,4,12,26,62,81,87,18,18,3,2,0,10,0,0,1073,1465
2021,Lambeth 031A,E01003065,483,41,32,13,19,43,80,80,103,29,22,4,3,0,14,0,0,1193,1676
2021,Lambeth 028B,E01003066,748,55,47,7,21,29,110,154,183,51,42,5,7,0,37,0,0,1141,1889
2021,Lambeth 033C,E01003067,439,55,31,4,19,18,84,92,91,14,19,4,2,0,6,0,0,1116,1555
2021,Lambeth 031B,E01003068,438,40,31,4,23,28,93,76,85,20,20,1,3,1,13,0,0,1138,1576
2021,Lambeth 033D,E01003069,358,34,29,6,8,23,70,76,68,14,10,2,1,0,16,1,0,1013,1371
2021,Lambeth 033E,E01003070,510,49,38,8,29,40,82,88,112,21,18,4,1,2,17,1,0,1037,1547
2021,Lambeth 018D,E01003071,667,66,40,4,17,42,181,143,115,16,24,1,1,0,17,0,0,1658,2325
2021,Lambeth 014A,E01003072,512,39,39,8,16,32,110,105,85,25,27,6,2,0,18,0,0,1222,1734
2021,Lambeth 014B,E01003073,417,35,23,6,19,17,95,68,85,20,22,3,5,3,16,0,0,1182,1599
2021,Lambeth 018E,E01003074,712,63,32,6,29,52,145,171,138,28,32,3,1,0,11,1,0,1646,2358
2021,Lambeth 009C,E01003075,722,50,37,18,37,35,121,155,186,40,26,2,3,1,11,0,0,995,1717
2021,Lambeth 014C,E01003076,1105,87,80,7,42,71,185,259,235,66,25,2,4,1,41,0,0,1595,2700
2021,Lambeth 014D,E01003077,708,39,45,11,35,50,134,143,156,43,26,2,1,0,23,0,0,1154,1862
2021,Lambeth 014E,E01003078,417,37,24,7,15,27,90,96,74,15,17,4,0,2,9,0,0,1212,1629
2021,Lambeth 027A,E01003079,629,41,57,12,20,42,127,116,127,36,28,2,6,0,15,0,0,1050,1679
2021,Lambeth 027B,E01003080,561,49,43,7,20,36,104,100,127,25,27,3,3,5,12,0,0,1121,1682
2021,Lambeth 028C,E01003081,678,48,45,10,15,42,142,140,162,36,21,1,1,0,15,0,0,1180,1858
2021,Lambeth 031C,E01003082,450,46,31,6,15,34,96,80,87,19,21,3,3,0,9,0,0,924,1374
2021,Lambeth 030A,E01003083,488,43,35,3,16,18,98,109,99,26,20,3,3,2,13,0,0,1051,1539
2021,Lambeth 030B,E01003084,447,43,32,6,15,25,80,90,90,29,15,2,1,1,17,1,0,1061,1508
2021,Lambeth 030C,E01003085,511,44,33,9,24,39,111,87,86,30,15,6,3,2,22,0,0,1278,1789
2021,Lambeth 031D,E01003086,470,33,41,12,26,35,88,95,90,16,20,1,5,1,7,0,0,1089,1559
2021,Lambeth 031E,E01003087,683,71,44,13,29,33,132,128,136,32,29,3,7,2,24,0,0,963,1646
2021,Lambeth 010A,E01003088,636,37,33,10,42,37,163,125,129,17,27,2,3,2,9,0,0,954,1590
2021,Lambeth 008A,E01003089,979,68,79,10,47,61,218,180,218,39,26,6,3,1,21,2,0,955,1934
2021,Lambeth 012D,E01003090,900,72,42,13,44,57,204,226,165,33,24,0,3,2,14,0,1,1490,2390
2021,Lambeth 008B,E01003091,686,59,43,6,36,45,120,150,152,23,27,2,4,0,19,0,0,1022,1708
2021,Lambeth 008C,E01003092,1010,58,75,22,53,59,232,183,199,55,38,5,3,1,27,0,0,1343,2353
2021,Lambeth 010B,E01003093,1005,59,76,30,43,50,206,174,236,52,39,4,7,2,27,0,0,1292,2297
2021,Lambeth 010C,E01003094,514,37,26,9,27,37,123,112,100,15,12,4,3,1,8,0,0,968,1482
2021,Lambeth 012E,E01003095,524,41,28,3,20,37,132,130,100,11,12,1,0,0,9,0,0,1118,1642
2021,Lambeth 010D,E01003096,780,64,32,8,40,74,178,174,133,41,21,1,3,0,11,0,0,1309,2089
2021,Lambeth 006A,E01003097,672,49,28,2,35,52,150,144,134,31,22,3,9,0,13,0,0,886,1558
2021,Lambeth 005A,E01003098,548,39,37,5,19,30,122,112,120,34,15,4,3,1,7,0,0,937,1485
2021,Lambeth 005B,E01003099,754,65,55,11,41,39,156,135,189,31,23,0,1,0,8,0,0,947,1701
2021,Lambeth 005C,E01003100,826,57,30,4,33,63,152,218,186,48,20,4,2,2,7,0,0,1188,2014
2021,Lambeth 003A,E01003101,596,35,37,12,30,28,124,124,143,24,17,5,2,3,12,0,0,836,1432
2021,Lambeth 004A,E01003102,767,40,47,11,44,58,209,157,151,22,13,3,1,0,10,1,0,940,1707
2021,Lambeth 004C,E01003104,786,41,27,20,25,53,179,167,177,38,28,8,1,0,22,0,0,946,1732
2021,Lambeth 003B,E01003105,733,49,41,11,24,53,153,155,161,30,23,2,14,0,17,0,0,976,1709
