date,geography,geography code,Sex: All persons,Sex: Female,Sex: Male
2021,Barnet 036C,E01000306,1971,979,992
2021,Barnet 039D,E01000307,1650,831,819
2021,Barnet 036D,E01000308,2110,1112,998
2021,Barnet 031D,E01000309,2051,1044,1007
2021,Barnet 034C,E01000310,2194,1079,1115
2021,Barnet 034D,E01000311,1771,917,854
2021,Barnet 036E,E01000312,1768,896,872
2021,Barnet 036F,E01000313,1901,971,930
2021,Barnet 032F,E01000314,2166,1120,1046
2021,Barnet 022F,E01000315,1699,886,813
2021,Barnet 027E,E01000316,2287,1158,1129
2021,Barnet 019D,E01000317,1582,834,748
2021,Barnet 019E,E01000318,1924,1018,906
2021,Barnet 027F,E01000319,1402,719,683
2021,Barnet 011D,E01000320,1934,1015,919
2021,Barnet 012E,E01000321,1961,997,964
2021,Barnet 011E,E01000322,1859,1014,845
2021,Barnet 019F,E01000323,2367,1114,1253
2021,Barnet 015F,E01000324,1831,942,889
2021,Bexley 014A,E01000325,1647,831,816
2021,Bexley 014B,E01000326,1384,704,680
2021,Bexley 017A,E01000327,1628,838,790
2021,Bexley 017B,E01000328,1637,853,784
2021,Bexley 017C,E01000329,1696,882,814
2021,Bexley 017D,E01000330,1656,919,737
2021,Bexley 017E,E01000331,1689,844,845
2021,Bexley 005A,E01000332,1593,843,750
2021,Bexley 003A,E01000333,1917,984,933
2021,Bexley 006A,E01000334,1675,886,789
2021,Bexley 003B,E01000335,2726,1398,1328
2021,Bexley 003C,E01000336,1998,1030,968
2021,Bexley 003D,E01000337,1736,887,849
2021,Bexley 003E,E01000338,1854,926,928
2021,Bexley 025A,E01000339,1619,829,790
2021,Bexley 018A,E01000340,1584,799,785
2021,Bexley 022A,E01000341,1542,829,713
2021,Bexley 022B,E01000342,1524,797,727
2021,Bexley 022C,E01000343,1510,757,753
2021,Bexley 025B,E01000344,1592,823,769
2021,Bexley 022D,E01000345,1342,703,639
2021,Bexley 021A,E01000346,1588,818,770
2021,Bexley 021B,E01000347,1521,785,736
2021,Bexley 020A,E01000348,1514,767,747
2021,Bexley 020B,E01000349,1722,893,829
2021,Bexley 021C,E01000350,1486,766,720
2021,Bexley 024A,E01000351,1612,851,761
2021,Bexley 021D,E01000352,1618,872,746
2021,Bexley 011A,E01000353,1637,851,786
2021,Bexley 011B,E01000354,1492,792,700
2021,Bexley 011C,E01000355,1441,740,701
2021,Bexley 009A,E01000356,1566,817,749
2021,Bexley 009B,E01000357,1403,723,680
2021,Bexley 011D,E01000358,1658,857,801
2021,Bexley 009C,E01000359,1263,650,613
2021,Bexley 015A,E01000360,1910,997,913
2021,Bexley 020C,E01000361,1591,830,761
